Gameid,totSubmit,avr_T,avr_U,ans,U/ans,median_U,min_U,gameid,var_degree,avr_degree,N/avr_degree,U/n,circlecount,n,,log(CC/n!),averagelen,logVar,3len/3!,4len/4!,...,,,,,,,,,,,..,,,,,,,,,,
17,169,49.0118,3.06509,6,0.510848,0,0,17,0.958678,3.63636,21.8954736023493,0.278644545454545,1050174,11,6.02126126190733,-3.63784,7.85314,11.1625,335.333,340.667,248.45,126.886,43.3544,8.96399,0.822751,0.0111111,0,,,,,,2.52547629429578,2.5323300660245,2.39523900108155,2.10341370674277,1.63703318021476,0.952501363375379,-0.0847315811767453,-1.95424294373402,??:502,
18,166,86.9759,7.80723,6,1.3012,5,0,18,2.14876,3.81818,23.6747119123044,0.709748181818182,1586802,11,6.20052273918579,-3.22508,8.15005,8.41797,368.333,380.917,284.15,149.636,53.4972,11.964,1.35053,0.0527778,0,,,,,,2.56624063027461,2.58083035528484,2.45354766038075,2.17503609032311,1.72833105199559,1.07787640435928,0.130504235831687,-1.27754871695366,??:502,
19,158,58.3544,4.48101,6,0.746835,1,0,19,1.60331,4.18182,26.7401749511258,0.407364545454545,2479630,11,6.39438688205752,-2.77869,8.39791,6.86706,405.667,428.75,328.95,179.969,67.9734,16.589,2.23942,0.130556,0,,,,,,2.60816968036686,2.63220413305083,2.5171298907332,2.2551977035011,1.83233899368728,1.21982020714724,0.35013555252345,-0.884203164384786,??:502,
20,160,35.925,0.59375,6,0.0989583,0,0,20,4.41322,4.36364,28.4856086823527,0.0539772727272727,3372458,11,6.52794654975037,-2.47116,8.51453,6.52202,443,476.583,373.75,210.303,82.4496,21.214,3.12831,0.208333,0,,,,,,2.64640372622307,2.6781385467434,2.57258120133249,2.32284546799851,1.91618855302827,1.32662256451565,0.495309782948719,-0.681241932247314,??:502,
21,159,52.6604,2.63522,7,0.37646,0,0,21,2.26446,5.09091,33.7524693729974,0.239565454545454,4265286,11,6.62994815720518,-2.23629,8.58233,5.95302,480.333,524.417,418.55,240.636,96.9258,25.839,4.0172,0.286111,0,,,,,,2.68154242471013,2.71967676174902,2.62174734626482,2.38136059986083,1.9864393942462,1.41227570193583,0.603923454020486,-0.543465444720199,??:502,
22,145,108.055,11.1517,7,1.5931,1,0,22,1.28926,5.27273,35.4884540866595,1.01379090909091,5377314,11,6.73056539717746,-2.00461,8.64187,5.47503,520.333,576.917,468.95,275.636,114.069,31.464,5.12831,0.386111,0,,,,,,2.71628137012711,2.76111333649223,2.67112654019551,2.44033593885355,2.05716763426765,1.49781393340169,0.709974269868826,-0.413287825490039,??:502,
23,140,74.1643,6.04286,7,0.863265,0,0,23,2.06612,5.45455,37.1574891256169,0.549350909090909,6489342,11,6.81220066286254,-1.81664,8.68101,5.42344,560.333,629.417,519.35,310.636,131.212,37.089,6.23942,0.486111,0,,,,,,2.74844620036489,2.79893846864788,2.71546013595685,2.49225178524752,2.11797355527947,1.56924512396391,0.795144220690967,-0.313264551348314,??:502,
24,140,49.3214,2.02857,7,0.289796,0,0,24,2.59504,5.63636,38.7831837145982,0.184415454545455,7601370,11,6.88089187252025,-1.65847,8.7087,5.12435,600.333,681.917,569.75,345.636,148.354,42.714,7.35053,0.586111,0,,,,,,2.77839221695906,2.8337315174195,2.75568433385241,2.53861897045935,2.17129926049114,1.63057024332064,0.866318654427997,-0.23202012780031,??:502,
25,141,46.7518,2.73759,6,0.456265,0,0,25,0.809917,2.90909,20.1896302046657,0.248871818181818,8713398,11,6.94018755166246,-1.52194,8.72932,5.17325,640.333,734.417,620.15,380.636,165.497,48.339,8.46164,0.686111,0,,,,,,2.80640588406468,2.86594272118984,2.79249674803569,2.58050986083481,2.21879012563286,1.68429766181482,0.927454544353902,-0.163605617838717,??:502,
26,142,69.1268,5.9507,6,0.991784,4,0,26,1.5,3,21.1407301879383,0.495891666666667,11140638,12,7.0469100626461,-3.7611,8.89341,12.3509,682.333,790.917,676.15,421.236,186.64,55.964,10.2394,0.919444,0.0121212,0,,,,,2.83399637578134,2.8981309103835,2.83004305237036,2.62452548011374,2.2710047257857,1.74790874791851,1.01027450895197,-0.0364747169224867,-1.91645438284462,
27,141,46.4468,1.96454,7,0.280648,0,0,27,0.805556,3.16667,22.6724328665919,0.163711666666667,14444686,12,7.15970810554681,-3.50138,9.05955,10.5129,725.667,850.083,735.883,465.569,210.45,64.9223,12.4616,1.24167,0.0323232,0,,,,,2.86073737381357,2.92946133122276,2.86680877018862,2.66798405502424,2.32314893008404,1.81239389716181,1.09557380689461,0.0940061882543109,-1.49048565057234,
28,141,44.8369,1.71631,7,0.245187,0,0,28,0.888889,3.33333,24.3482742513931,0.143025833333333,20159956,12,7.30448957990751,-3.16801,9.26385,9.0803,772.667,916.583,805.883,520.169,241.592,77.5473,15.9061,1.80833,0.0747475,0,,,,,2.88799236426529,2.9621717980597,2.90627199448159,2.71614446641021,2.38308254909902,1.88956668138219,1.20156370848966,0.257277687257343,-1.12640332814549,
29,141,32.2908,0.425532,6,0.070922,0,0,29,2.91667,3.5,26.1269260356202,0.035461,29163256,12,7.46483601017721,-2.79879,9.44804,7.89132,824.667,993.083,889.883,588.769,282.735,95.1723,21.0172,2.70833,0.147475,0,,,,,2.91627861611685,2.99698554752419,2.94933291024649,2.76994493535905,2.45137957349128,1.97851056490081,1.32257485700394,0.432701580414635,-0.831281595158815,
30,141,35.8723,0.794326,7,0.113475,0,0,30,2.72222,3.66667,27.7995295054735,0.0661938333333333,38166556,12,7.58168297269007,-2.52974,9.54533,7.36776,876.667,1069.58,973.883,657.369,323.878,112.797,26.1283,3.60833,0.220202,0,,,,,2.94283465890105,3.02921327348837,2.98850678490068,2.81780921990627,2.51038144877246,2.05229754910857,1.41711115390502,0.557306249109729,-0.657178740836477,
31,133,50.5865,2.63158,7,0.37594,0,0,31,2.80556,3.83333,29.4156885311182,0.219298333333333,47169856,12,7.67366455043479,-2.31795,9.60548,6.86076,928.667,1146.08,1057.88,725.969,365.021,130.422,31.2394,4.50833,0.292929,0,,,,,2.96786001325285,3.05921493381455,3.02443640655214,2.86091807604943,2.56231785054351,2.11535085575722,1.49470268400195,0.654015697953848,-0.533237630993293,
32,131,57.4046,4.19847,7,0.599782,0,0,32,1.5,4,31.0580785990359,0.3498725,58145974,12,7.76451964975897,-2.10875,9.65835,6.55067,983.667,1228.58,1150.28,802.969,412.164,151.047,37.3505,5.60833,0.383838,0,,,,,2.99284810194885,3.08940344118024,3.06080356874801,2.90469877891651,2.61507005613771,2.17911210401258,1.57229641996099,0.748833560051769,-0.415852032275439,
33,130,49.0846,2.87692,7,0.410989,0,0,33,1.63889,4.16667,32.6650964392112,0.239743333333333,69122092,12,7.83961687371718,-1.93583,9.69443,6.28746,1038.67,1311.08,1242.68,879.969,459.307,171.672,43.4616,6.70833,0.474747,0,,,,,3.01647758803499,3.11762919245174,3.09435930874932,2.94446737287053,2.6621030642688,2.23469946675604,1.63810571044241,0.82661441852169,-0.323537770956532,
34,123,93.1626,9.26016,7,1.32288,6,0,34,1.08333,4.5,35.5663026484572,0.77168,80098210,12,7.90362281076827,-1.78845,9.72062,6.14099,1093.67,1393.58,1335.08,956.969,506.45,192.297,49.5728,7.80833,0.565657,0,,,,,3.03888629932935,3.14413190491964,3.12550729005834,2.98089786949367,2.70453657546931,2.2839725089207,1.69524344967389,0.892558159442256,-0.247446834115357,
35,123,36.1626,1.52033,6,0.253388,0,0,35,1.97222,3.16667,25.2047804535639,0.126694166666667,91074328,12,7.95939597544545,-1.66003,9.7405,5.97444,1148.67,1476.08,1427.48,1033.97,553.592,212.922,55.6839,8.90833,0.656566,0,,,,,3.0601952786763,3.16910989584544,3.154570032189,3.01450793815496,2.74318980547153,2.32822053689619,1.74572964487055,0.949796296656172,-0.182721610785332,
36,125,36.704,1.984,6,0.330667,0,0,36,2.38889,3.33333,26.6960229942551,0.165333333333333,102050446,12,8.00881490709144,-1.54624,9.7561,5.99262,1203.67,1558.58,1519.88,1110.97,600.735,233.547,61.795,10.0083,0.747475,0,,,,,3.08050743640415,3.19272909898813,3.18180930018482,3.04570233165881,2.77868293553327,2.36837429298191,1.79095333657333,1.00036031490997,-0.12640332814549,
37,121,39.7438,2.14876,6,0.358127,0,0,37,0.972222,2.83333,22.8173179776867,0.179063333333333,113026564,12,8.05318052527829,-1.44408,9.76867,5.62751,1258.67,1641.08,1612.28,1187.97,647.878,254.172,67.9061,11.1083,0.838384,0,,,,,3.09991188104913,3.21512975272384,3.20744046668442,3.07480547347433,2.81149323285346,2.40512770626809,1.83190878867443,1.04564760015503,-0.0765570185020659,
38,123,42.4959,2.79675,6,0.466125,0,0,38,0.638889,2.83333,22.9313610774481,0.2330625,124002682,12,8.09343107843001,-1.3514,9.77902,5.75868,1313.67,1723.58,1704.68,1264.97,695.021,274.797,74.0172,12.2083,0.929293,0,,,,,3.11848628213511,3.23643144599881,3.23164286586376,3.10208022591583,2.84199792695894,2.4390119871555,1.86933265212427,1.0866551928539,-0.0318473342078506,
39,120,54.4333,4.38333,6,0.730556,1,0,39,0.92562,3.27273,26.0977542794237,0.398484545454545,94255600,11,7.97430716234573,0.859213,14.0165,5.71228,1368.67,1806.08,1797.08,1341.97,742.164,295.422,80.1283,13.3083,1.0202,,,,,,3.13629874802059,3.25673698340222,3.25456741087926,3.127742807204,2.87049988428852,2.47044283397807,1.90378592885796,1.12412258231371,0.0086853191951681,
