Gameid,totSubmit,avr_T,avr_U,ans,U/ans,median_U,min_U,gameid,var_degree,avr_degree,N/avr_degree,U/n,circlecount,n,,log(CC/n!),averagelen,logVar,3len/3!,4len/4!,...,,,,,,,,,,,..,,,,,,,,,,
68,90,110.322,11.1667,10,1.11667,3,0,68,3.12889,7.73333,81.0405708636936,0.744446666666667,30157037802,15,10.4793886803865,-3.76959,12.6632,12.0219,3519.33,5488.83,6624.62,6212.67,4530.05,2556.8,1106.02,361.008,73.8788,13.5606,1.67133,0.0970696,0,,3.54645999160346,3.7394797800246,3.82116097141846,3.79327828569339,3.6561029955237,3.4076967576339,3.04376298032411,2.55751682605347,1.86851983265869,
69,87,74.3793,8.56322,7,1.22332,4,0,69,2.91667,4.5,43.5943980206329,0.713601666666667,4871290220,12,9.68764400458508,2.31941,26.5671,3.48212,3592.67,5612.58,6783.02,6366.67,4643.19,2618.67,1130.46,367.608,74.9697,13.6439,,,,,3.55541732748549,3.74916254435631,3.83142309760119,3.80391233990732,3.66681645542221,3.41808077287772,3.05325519995284,2.56538495406894,1.87488577296956,
70,91,82.2088,9.04396,8,1.13049,4,0,70,2.22222,6.33333,61.3996087940132,0.753663333333333,4950854638,12,9.69468017520217,2.33561,26.4032,3.60484,3666,5736.33,6941.42,6520.67,4756.34,2680.55,1154.91,374.208,76.0606,13.7273,,,,,3.5641924606262,3.75863412750224,3.84144832277205,3.81429222185974,3.67727289196139,3.42822391248338,3.06254814178115,2.57311306782117,1.88115974699801,
71,87,110.644,12.4828,9,1.38697,8,0,71,3.55102,5.85714,59.4121872162681,0.891628571428571,13917111508,14,10.1435491069478,-1.83484,24.6011,13.1055,3779.67,5965.5,7299.65,6957.92,5174.34,2992.67,1335.18,453.225,101.485,5.66667,0.782051,0.147436,,,3.5774538835845,3.77564685004166,3.8633020372831,3.8424794310574,3.7138549623149,3.47605883007758,3.12553981831267,2.65631385764016,2.00640185605577,
72,84,127.345,16.5,9,1.83333,8,0,72,3.91837,6.28571,65.1169381571881,1.17857142857143,22883368378,14,10.3595199519526,-1.33754,22.482,11.6316,3893.33,6194.67,7657.88,7395.17,5592.34,3304.8,1515.46,532.242,126.909,11.3333,1.5641,0.197802,,,3.59032121622909,3.79201817576514,3.88410855661259,3.86894816199935,3.74759356753646,3.51914518196853,3.18054447781447,2.72610914238473,2.10349242202961,
73,82,82.7439,8.41463,9,0.934959,1,0,73,3.57143,7,73.5217302866593,0.601045,31849625248,14,10.5031043266656,-1.00693,21.5561,10.9086,4007,6423.83,8016.12,7832.42,6010.34,3616.92,1695.74,611.258,152.333,17,2.34615,0.248168,,,3.6028193424327,3.80779403926956,3.90396420988891,3.89389596771129,3.77889904037999,3.55833890302682,3.22935926465339,2.78622455611224,2.18279399503299,
74,84,83.7738,8.03571,9,0.892857,4,0,74,3.14286,7,74.2758043087485,0.573979285714286,40815882118,14,10.6108291869641,-0.758884,21.037,10.3408,4120.67,6653,8374.35,8269.67,6428.34,3929.05,1876.02,690.275,177.758,22.6667,3.12821,0.298535,,,3.61496783585009,3.82301752344605,3.9229511079634,3.91748817943906,3.80809883887831,3.59428755555803,3.2732374640235,2.83902214463464,2.24982915526775,
75,82,65.9146,7.15854,7,1.02265,5,0,75,0.975207,4.54545,43.3195980846452,0.650776363636364,3390947836,11,9.53032110894305,4.44207,32.696,0.921622,4175.67,6735.5,8466.75,8346.67,6475.48,3949.67,1882.13,691.375,177.848,,,,,,3.62072616939028,3.82836984047191,3.92771673643123,3.92151324325898,3.81127196636332,3.59656081128063,3.27464961714267,2.83971367147722,2.25004898566547,
76,84,29.2857,0.369048,7,0.0527211,0,0,76,3.97633,3.84615,37.0647232316026,0.0283883076923077,4333488786,13,9.63683767705434,-0.362525,69.9064,10.6929,4271,6914.25,8724.15,8632.67,6720.62,4110.55,1961.57,719.975,7.09091,1.08333,3.20513,,,,3.63052957142682,3.83974507836774,3.94072312407909,3.93614513950744,3.82740934004165,3.61389993525423,3.29260381084501,2.85731741649995,0.850701973211031,
77,87,38.1839,1.82759,7,0.261084,0,0,77,1.51479,3.84615,37.3934519703157,0.140583846153846,5276029736,13,9.72230723458932,-0.165724,60.6262,9.37593,4366.33,7093,8981.55,8918.67,6965.76,4271.42,2041.02,748.575,14.1818,2.16667,3.28205,,,,3.64011655587222,3.85082995984853,3.95335129194106,3.95030009487757,3.84296850709161,3.63057227681535,3.30984726039813,2.87423531898018,1.15173135640808,
78,84,103.036,13.5952,8,1.6994,8,0,78,2.22485,5.07692,49.7217835554668,1.04578461538462,6218570686,13,9.79369057528321,-0.00135793,54.1591,8.80787,4461.67,7271.75,9238.95,9204.67,7210.91,4432.3,2120.46,777.175,21.2727,3.25,3.35897,,,,3.64949744526673,3.86163893959141,3.96562261677015,3.96400822306838,3.85799007512724,3.64662914791514,3.3264300844151,2.89051882185997,1.32782261546376,
79,89,69.6292,7.5618,7,1.08026,6,0,79,0.792899,2.76923,27.2907074951669,0.581676923076923,7161111636,13,9.85498044408263,0.139767,49.3945,8.33527,4557,7450.5,9496.35,9490.67,7456.05,4593.17,2199.91,805.775,28.3636,4.33333,3.4359,,,,3.65867902858245,3.8721854190509,3.97755671271438,3.97729687280999,3.87250881171868,3.66211251959507,3.34240491386635,2.90621378882739,1.45276135207206,
80,85,112.682,15.3294,8,1.91618,7,0,80,1.06122,4.28571,43.746657008616,1.09495714285714,16127368506,14,10.2075635095739,-1.68744,37.9497,13.016,4670.67,7679.67,9854.58,9927.92,7874.05,4905.3,2380.18,884.792,53.7879,10,0.782051,0.348901,,,3.66937918387056,3.88534255853956,3.993638119476,3.99685826892394,3.89619816822093,3.69066557325733,3.37660980161566,2.94684118722965,1.73068458878425,
81,85,84.9412,8.43529,8,1.05441,2,0,81,3.69388,4.85714,50.5121354217379,0.602520714285714,25093625376,14,10.399563410101,-1.24534,31.2477,11.8114,4784.33,7908.83,10212.8,10365.2,8292.05,5217.42,2560.46,963.808,79.2121,15.6667,1.5641,0.399267,,,3.67982112755148,3.89811224049807,4.00914482708573,4.01557768636798,3.91866191216985,3.71745579864311,3.40831799559124,2.98399052680171,1.89879152706741,
82,91,88.6813,10.1648,8,1.2706,6,0,82,2.34694,3.71429,39.1198053804881,0.726057142857143,34059882246,14,10.5322431421586,-0.939835,28.0743,11.1595,4898,8138,10571,10802.4,8710.05,5529.55,2740.74,1042.83,104.636,21.3333,2.34615,0.449634,,,3.69001878078869,3.91051768551727,4.02411607282677,4.03352025465008,3.9400206480802,3.74268978944776,3.43786783819509,3.01821351640409,2.01968112919186,
83,84,65.7619,5.91667,8,0.739583,5,0,83,3.04889,4.13333,44.1271580957426,0.394444666666667,47416987116,15,10.6759339553683,-3.31703,12.2218,13.7201,5011.67,8367.17,10929.3,11239.7,9128.05,5841.67,2921.02,1121.84,130.061,27,3.12821,0.0503663,0,,3.69998246657244,3.92257859285471,4.03859234713976,4.05075471958862,3.96037801031732,3.76653701973322,3.46553453056475,3.04993092102701,2.11414708884466,
84,83,95.0361,11.8795,9,1.31995,7,0,84,1.71556,4.53333,48.9620058262301,0.791966666666667,63161204450,15,10.800450403176,-3.03032,12.3912,12.3544,5129,8606.42,11307.7,11707.2,9580.62,6184.05,3121.46,1210.94,159.152,33.5833,4.05128,0.110806,0,,3.71003269906575,3.9348225361727,4.05337427787966,4.06845303768932,3.98139361491007,3.7912729923327,3.49435777402926,3.08312262512946,2.20181210059765,
85,86,57.6628,5.87209,7,0.83887,1,0,85,2.47222,4.16667,42.036445736688,0.489340833333333,12267015268,12,10.088738905814,3.24297,26.1473,3.21297,5202.33,8730.17,11466.1,11861.2,9693.76,6245.92,3145.91,1217.54,160.242,33.6667,,,,,3.71619789738569,3.94102270067499,4.05941572509423,4.07412862891145,3.98649226317239,3.79559641732917,3.49774629391903,3.08548323805416,2.20477635680189,
86,85,109.471,15.1059,8,1.88824,8,0,86,1.22222,6.33333,63.9130952318082,1.258825,12346579686,12,10.0915466637311,3.24943,26.0842,3.05906,5275.67,8853.92,11624.5,12015.2,9806.91,6307.8,3170.35,1224.14,161.333,33.75,,,,,3.72227762204088,3.94713559357286,4.06537428182772,4.07973100428461,3.99153218970987,3.79987791479742,3.50110721006568,3.08783108917436,2.20772320962117,
87,86,94.1628,8.89535,10,0.889535,6,0,87,1.98438,4.875,51.3852939793013,0.555959375,34719472958,16,10.5405731239592,-6.40129,12.2081,24.9658,5394,9096.17,12009.4,12493.3,10273,6663.46,3380.96,1319.24,193.106,7.46212,1.12238,0.0884116,0.0018315,0,3.73191094211687,3.95885856836525,4.07952131021736,4.09667716875792,4.01169728811414,3.823699795043,3.52904003267584,3.12032381085653,2.28579576796069,
88,83,109.627,13.9759,10,1.39759,10,0,88,1.75,5,54.3034647258155,0.87349375,72559276752,16,10.8606929451631,-5.66419,12.8988,20.4594,5514.67,9345.42,12409.5,12996.4,10770.5,7050.12,3615.29,1428.34,231.136,16.9747,2.70979,0.242091,0.00793651,0,3.74151952920286,3.97059882412936,4.09375428338306,4.1138230694873,4.03223586506219,3.84819650917499,3.55814313990116,3.15483159858025,2.3638675931802,
89,82,129.561,17.7317,10,1.77317,11,0,89,2.73438,5.875,65.5834713192902,1.10823125,145594193264,16,11.1631440543473,-4.96777,13.3145,17.3552,5643,9616.67,12856,13573.9,11359.8,7524.49,3914.74,1574.64,285.227,31.5581,5.4021,0.544289,0.0233211,0,3.75151005027004,3.98302471330741,4.10910586375529,4.13270464538527,4.05537068527808,3.87647706935668,3.59270292340164,3.19718127946891,2.45519063406901,
90,83,126.892,16.6145,10,1.66145,9,0,90,5.25,6,69.1565976817576,1.03840625,335814630826,16,11.5260996136263,-4.13203,13.6435,14.39,5786.33,9932.92,13401.6,14316.4,12161.3,8211.01,4379.18,1819.94,384.318,61.1414,11.5559,1.34099,0.0716728,0,3.76240319825289,3.99707693766659,4.12715665132671,4.15583382406876,4.08498000196381,3.91439658104736,3.64139279661942,3.26005707034857,2.58469072564989,
91,85,82.2235,10.9529,7,1.56471,6,0,91,0.982249,3.69231,39.6323058978341,0.842530769230769,54168000576,13,10.7337428054075,2.16319,28.7269,4.84649,5881.67,10111.7,13659,14602.4,12406.4,8371.89,4458.63,1848.54,391.409,62.2247,11.6329,,,,3.76950065410518,4.00482417621943,4.13541890502785,4.16442424079107,4.09364577932712,3.92282351341882,3.64920143385992,3.26682885257822,2.59263080753915,
92,81,118.716,17.5802,8,2.19753,7,0,92,0.674556,4.30769,46.2699092122337,1.35232307692308,55110541526,13,10.7412346785014,2.18044,28.5427,4.86211,5977,10290.4,13916.5,14888.4,12651.5,8532.76,4538.07,1877.14,398.5,63.3081,11.7098,,,,3.77648325583368,4.01243225662992,4.14353002393729,4.17284802827553,4.10214201982827,3.9310895304514,3.65687119061883,3.27349666418239,2.60042832573213,
93,83,40.8795,2.15663,7,0.30809,0,0,93,3.44379,4.30769,46.3016345816529,0.165894615384615,56053082476,13,10.7485995003477,2.1974,28.3648,4.97252,6072.33,10469.2,14173.9,15174.4,12896.7,8693.64,4617.52,1905.74,405.591,64.3914,11.7867,,,,3.78335536520703,4.01991349649644,4.15148936439266,4.18111152796207,4.11047859749815,3.93920165227412,3.6644087851888,3.28006364957222,2.60808830950649,
94,82,89.3293,10.9878,8,1.37348,6,0,94,2.40237,4.46154,47.9876171233572,0.845215384615385,56995623426,13,10.7558415083933,2.21408,28.1927,4.90486,6167.67,10647.9,14431.2,15460.4,13141.8,8854.51,4696.96,1934.34,412.682,65.4747,11.8636,,,,3.79012112882159,4.02726396379906,4.1593024455571,4.18922072603415,4.11865485354409,3.94716453275543,3.67181686168352,3.28653281263526,2.61561552661632,
95,83,98.3855,13.5301,8,1.69127,8,0,95,2.22485,4.92308,52.9869364106729,1.04077692307692,57938164376,13,10.762964731565,2.23048,28.0262,4.93174,6263,10826.7,14688.6,15746.4,13387,9015.39,4776.41,1962.94,419.773,66.5581,11.9406,,,,3.79678241170131,4.03449610296097,4.16698040428248,4.1971812794689,4.12668326338829,3.95498451876606,3.67910159892012,3.29290702498607,2.62301450111605,
96,84,53.9405,4.64286,7,0.663265,1,0,96,2.63265,3.71429,40.2832093702969,0.331632857142857,70059483598,14,10.8454669318489,-0.218611,36.1241,10.9158,6384.33,11076.9,15089,16246.9,13877.3,9390.76,4998.85,2063.04,452.864,74.1414,1.07692,1.41242,,,3.80511532719527,4.0444182350073,4.17866045853817,4.21077050738703,4.1423049769859,3.97270074140879,3.69887010511633,3.31450764853101,2.65596779822157,
97,87,74.1379,7.43678,8,0.929598,1,0,97,2.69388,4.85714,53.0145678013122,0.531198571428571,82180802820,14,10.9147703795468,-0.0590336,33.6795,10.2197,6505.67,11327.2,15489.5,16747.4,14367.5,9766.14,5221.29,2163.14,485.955,81.7247,2.15385,1.48385,,,3.81329202992434,4.05412256874839,4.19003739898931,4.22394739326548,4.15738120580574,3.9897229457101,3.71777781539077,3.33508462820464,2.68659605494846,
98,88,66.0114,6.38636,8,0.798295,1,0,98,1.57143,4,43.898085862392,0.456168571428571,94302122042,14,10.974521465598,0.0785483,31.8634,9.791,6627,11577.4,15889.9,17247.9,14857.8,10141.5,5443.74,2263.24,519.045,89.3081,3.23077,1.55528,,,3.8213169705911,4.06361103845576,4.20112116406799,4.23673622555824,4.17195450803872,4.0061021949918,3.7358973745655,3.35473061014077,2.715205011807,
99,97,80.5155,8.57732,8,1.07216,4,0,99,3.26531,4.14286,45.6834717403133,0.612665714285714,106423441264,14,11.0270372979809,0.199471,30.4609,9.26848,6748.33,11827.7,16290.2,17748.4,15348.1,10516.9,5666.18,2363.34,552.136,96.8914,4.30769,1.62671,,,3.82919631186534,4.07290030046713,4.21192641631362,4.249159207955,4.18605462016576,4.02188774444733,3.75329036682491,3.37352620555189,2.74204606463994,
100,172,84.0581,8.59884,8,1.07485,5,0,100,2.55102,4.85714,53.78739698317,0.614202857142857,118544760486,14,11.0738823635246,0.307335,29.3453,9.17301,6869.67,12077.9,16690.7,18248.9,15838.4,10892.3,5888.63,2463.44,585.227,104.475,5.38462,1.69814,,,3.83693587525151,4.08199142950909,4.22247455116471,4.26123669134987,4.19971130690828,4.03711959434166,3.77001426717304,3.39154198898306,2.76732435450131,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORREL bettween...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.453052503320169,-0.420411457946567,1,0.983573437393206,0.718732682839312,0.963693978995319,0.879806597710618,#DIV/0!,0.453052503320169,0.205841535623376,0.742813313084135,0.721896850118851,0.975914859361652,0.327055743967094,0.448578478345843,0.42196775230756,0.0187853893556456,0.126342471525411,0.28338569412244,0.447013279744595,0.437574132968573,0.42417515876842,0.406902319269586,0.386143264260949,0.362676266336249,0.332467756106554,0.294393226584579,0.242443955629129,0.182020500454618,0.159490494304512,-0.479674409235135,0.519406846805569,#DIV/0!,0.378166680377303,0.377971328806771,0.37780323162439,0.376920017912726,0.374758828040802,??:502,??:502,??:502,??:502,#VALUE!
0.523972640749036,-0.476258854938385,0.983573437393206,1,0.712850656367443,0.973886334290779,0.91155077885566,#DIV/0!,0.523972640749036,0.178369711222085,0.693029254923128,0.720162357821507,0.983484500866568,0.356475839934102,0.478605130072736,0.483009112659497,0.0919548224150385,0.198981945862968,0.262604956051773,0.51886701855333,0.509066582915893,0.4950604964768,0.476992686772167,0.455308321146088,0.430846983887154,0.400758665808655,0.362397326088117,0.289937297202075,0.223602253311255,0.234824087578145,-0.420271138270828,0.532156558099282,#DIV/0!,0.435674452931328,0.436071188377155,0.436443176300862,0.435930608597154,0.433871698542785,??:502,??:502,??:502,??:502,#VALUE!
0.440760438195685,-0.380164505341419,0.963693978995319,0.973886334290779,0.576556473888479,1,0.883235942066195,#DIV/0!,0.440760438195685,0.0803446263193538,0.615438688476011,0.607993528869368,0.993309506946505,0.285093045165539,0.334055109700417,0.379469321490066,0.154066752537428,0.196601474759465,0.144215039919524,0.448963318074579,0.444308915455665,0.435658612854617,0.423055829997187,0.406823023548112,0.387655630879051,,,,,,,,,,,,,,,,,,
