gid=,69, btcnt=,0, method=,,gid=,69, btcnt=,0, method=,D,prejudgesize=,0
gid=,70, btcnt=,0, method=,,gid=,70, btcnt=,0, method=,D,prejudgesize=,0
gid=,71, btcnt=,0, method=,,gid=,71, btcnt=,0, method=,D,prejudgesize=,0
gid=,72, btcnt=,0, method=,,gid=,72, btcnt=,0, method=,D,prejudgesize=,0
gid=,73, btcnt=,0, method=,,gid=,73, btcnt=,0, method=,D,prejudgesize=,0
gid=,74, btcnt=,0, method=,,gid=,74, btcnt=,0, method=,D,prejudgesize=,0
gid=,75, btcnt=,0, method=,,gid=,75, btcnt=,0, method=,D,prejudgesize=,0
gid=,76, btcnt=,0, method=,,gid=,76, btcnt=,0, method=,D,prejudgesize=,0
gid=,77, btcnt=,0, method=,,gid=,77, btcnt=,0, method=,D,prejudgesize=,0
gid=,78, btcnt=,0, method=,,gid=,78, btcnt=,0, method=,D,prejudgesize=,0
gid=,79, btcnt=,0, method=,,gid=,79, btcnt=,0, method=,D,prejudgesize=,0
gid=,80, btcnt=,0, method=,,gid=,80, btcnt=,0, method=,D,prejudgesize=,0
gid=,81, btcnt=,0, method=,,gid=,81, btcnt=,0, method=,D,prejudgesize=,0
gid=,82, btcnt=,0, method=,,gid=,82, btcnt=,0, method=,D,prejudgesize=,0
gid=,83, btcnt=,0, method=,,gid=,83, btcnt=,0, method=,D,prejudgesize=,0
gid=,84, btcnt=,0, method=,,gid=,84, btcnt=,0, method=,D,prejudgesize=,0
gid=,85, btcnt=,0, method=,,gid=,85, btcnt=,0, method=,D,prejudgesize=,0
gid=,86, btcnt=,0, method=,,gid=,86, btcnt=,0, method=,D,prejudgesize=,0
gid=,87, btcnt=,0, method=,,gid=,87, btcnt=,0, method=,D,prejudgesize=,0
gid=,88, btcnt=,0, method=,,gid=,88, btcnt=,0, method=,D,prejudgesize=,0
gid=,89, btcnt=,0, method=,,gid=,89, btcnt=,0, method=,D,prejudgesize=,0
gid=,90, btcnt=,0, method=,,gid=,90, btcnt=,0, method=,D,prejudgesize=,0
gid=,91, btcnt=,0, method=,,gid=,91, btcnt=,0, method=,D,prejudgesize=,0
gid=,92, btcnt=,0, method=,,gid=,92, btcnt=,0, method=,D,prejudgesize=,0
gid=,93, btcnt=,0, method=,,gid=,93, btcnt=,0, method=,D,prejudgesize=,0
gid=,94, btcnt=,0, method=,,gid=,94, btcnt=,0, method=,D,prejudgesize=,0
gid=,95, btcnt=,0, method=,,gid=,95, btcnt=,0, method=,D,prejudgesize=,0
gid=,96, btcnt=,0, method=,,gid=,96, btcnt=,0, method=,D,prejudgesize=,0
gid=,97, btcnt=,0, method=,,gid=,97, btcnt=,0, method=,D,prejudgesize=,0
gid=,98, btcnt=,0, method=,,gid=,98, btcnt=,0, method=,D,prejudgesize=,0
gid=,99, btcnt=,0, method=,,gid=,99, btcnt=,0, method=,D,prejudgesize=,0
gid=,100, btcnt=,0, method=,,gid=,100, btcnt=,0, method=,D,prejudgesize=,0
gid=,101, btcnt=,0, method=,,gid=,101, btcnt=,0, method=,D,prejudgesize=,0
gid=,102, btcnt=,0, method=,,gid=,102, btcnt=,0, method=,D,prejudgesize=,0
gid=,103, btcnt=,0, method=,,gid=,103, btcnt=,0, method=,D,prejudgesize=,0
gid=,104, btcnt=,147, method=,,gid=,104, btcnt=,29, method=,D,prejudgesize=,0
gid=,105, btcnt=,939, method=,,gid=,105, btcnt=,50, method=,D,prejudgesize=,0
gid=,106, btcnt=,0, method=,,gid=,106, btcnt=,0, method=,D,prejudgesize=,0
gid=,107, btcnt=,0, method=,,gid=,107, btcnt=,54, method=,D,prejudgesize=,0
gid=,108, btcnt=,0, method=,,gid=,108, btcnt=,0, method=,D,prejudgesize=,0
gid=,109, btcnt=,0, method=,,gid=,109, btcnt=,33, method=,D,prejudgesize=,0
gid=,110, btcnt=,0, method=,,gid=,110, btcnt=,0, method=,D,prejudgesize=,0
gid=,111, btcnt=,0, method=,,gid=,111, btcnt=,0, method=,D,prejudgesize=,0
