8174 0/1.1
4933 0/2.1.1.
3525 0/1.0/1.2
3109 1/0.1/0.2/0.
2106 0/3.1.1.1.
1837 0/1.0/2.1.2.
1258 1/0.1/1.1
1205 0/1.0/1.1.1.
883 0/2.0/2.2.2.
880 0/1.0/1.0/2.2.2.
852 0/1.0/2.1.1.1.
850 0/1.0/3.1.1.2.
836 0/1.1/0.1/1.1.1.
804 1/1.1/2.1.2.
801 0/1.0/1.0/1.3
673 0/2.0/3.1.2.2.
569 0/1.1/1.1/1.1.2.
559 0/2.0/3.1.1.1.2.
527 1/0.1/0.
487 0/1.1/0.1/1.2/0.2
462 0/2.0/2.1.1.2.
462 1/1.1/2.1.1.1.
410 1/3.1/3.1.1.1.1.2.
400 1/0.1/0.1/1.1/1.2
384 1/0.1/0.2/1.1
368 0/4.1.1.1.1.
361 0/2.0/4.1.1.1.1.2.
354 1/0.1/1.2/0.1
340 0/3.0/4.1.2.2.2.
338 1/0.1/2.1.1.
330 0/2.0/3.1.1.1.1.1.
328 1/0.1/1.1/1.3/0.2
314 0/1.0/4.1.1.1.2.
313 0/5.1.1.1.1.1.
313 1/1.1/3.2/2.1.1.2.2.
306 1/2.1/3.1.1.1.2.
305 0/1.1/1.1/2.2/1.2.3.
275 1/1.1/1.2/1.3
272 0/1.0/2.0/3.2.2.2.
268 0/2.0/2.0/4.1.2.2.3.
260 0/1.0/2.0/2.2.3.
247 0/1.0/1.0/1.1.1.1.
244 0/1.0/1.1/1.1/2.1.2.2.
239 1/0.2/0.3/0.3/0.3/0.3/0.3/0.4/0.
238 0/1.0/1.0/1.0/3.2.2.2.
236 0/1.0/2.1/0.1/1.1.1.2.
234 1/0.1/1.2/1.1.1.
230 0/1.1/1.1/1.2/1.4
224 0/2.0/4.1.1.2.2.
216 1/1.1/2.2/1.1.1.2.
206 0/1.1/0.1/1.2/0.2/1.2/2.2.3.
202 1/1.2/0.2/0.3/2.3/2.3/2.2.2.3.
201 0/2.0/5.1.1.1.2.2.
199 0/1.0/2.0/3.1.1.2.2.
197 0/1.1/1.1/2.1.1.2.
197 0/1.1/0.1/1.2/1.1.1.1.
194 1/0.1/1.2/0.2/1.3/1.3/2.4/1.2.4.
191 0/1.0/2.0/2.1.2.2.
188 0/1.0/5.1.1.1.1.2.
188 0/1.0/1.0/1.1.2.
188 0/1.0/1.0/3.1.2.2.
188 0/1.0/1.1/0.1/1.1/1.1/1.1.2.2.
185 1/2.1/2.1.1.2.
185 0/1.2/1.3/0.3/0.3/2.4/1.5/1.2.4.
182 0/1.0/3.1.1.1.1.
182 1/1.1/4.2/2.1.1.1.2.2.
174 1/1.1/1.1.1.
172 2/1.2/3.3/1.3/1.1.1.2.2.
168 1/0.1/1.1/2.2/0.2/1.3/0.1.3.
167 0/1.0/1.1/0.1/2.2/0.2.2.
166 1/0.2/0.2/1.2/1.3/0.3/1.3/1.4/1.5
165 0/2.1/1.1/1.1/2.3/1.1.1.1.4.
164 1/1.1/1.2/1.1.2.
164 1/0.1/2.1/2.1/2.2/0.2/1.1.2.2.2.
161 1/0.1/3.2/0.1.1.1.
159 0/1.0/1.1/0.1/0.1.1.
156 1/0.2/2.3/1.3/1.3/1.4/0.4/1.2.4.
154 0/2.0/2.0/5.1.1.2.2.3.
152 1/0.1/0.1/0.3/0.
151 0/1.0/1.0/2.1.1.1.1.
150 1/2.1/2.2.2.
150 0/4.1/2.1/3.1.1.1.2.2.2.
150 2/2.2/2.2/3.1.2.2.2.
147 0/1.0/1.0/2.1.1.2.
147 1/1.1/1.2/0.2
141 0/2.0/2.1.1.1.1.
141 0/3.1/2.1/3.1.2.2.3.
139 0/1.0/1.0/2.0/2.2.2.2.
136 1/2.1/2.2/0.2.2.
135 1/0.1/2.2/1.1.2.
135 1/0.1/2.1/3.3/0.1.2.2.
134 0/1.0/2.0/4.1.1.1.2.2.
131 1/3.1/3.1.1.2.2.
131 0/1.1/0.1/1.2/1.3
131 1/1.2/0.2/0.2/1.3/0.3/0.5/1.3
130 0/1.1/1.1/1.2/0.3
128 0/2.1/1.1/2.1.1.1.2.
128 1/1.1/3.2/0.2/1.2/2.2/2.3.3.3.
126 0/1.0/1.1/1.1/3.2/1.1.1.1.2.2.
126 0/1.1/0.1/0.2/0.2/0.2/1.2
125 0/1.2/0.2/1.3/0.3/0.2
124 1/1.2/0.2/0.2/0.2/1.2/1.5/1.4
123 2/0.2/1.2/1.2
122 1/3.1/4.1.1.1.2.2.
118 0/1.1/0.1/2.1.2.
115 1/1.1/2.2/2.1.1.1.1.1.
114 0/3.1/3.1/3.1.1.1.2.2.2.
114 0/1.1/1.1/2.2/2.3.3.
114 1/2.2/0.2/1.2/3.3/1.4/0.2.2.3.
112 0/1.0/1.2/0.2/1.2/1.1.1.2.
111 0/6.1.1.1.1.1.1.
111 0/1.0/1.0/2.0/3.1.2.2.2.
111 1/0.1/1.2/0.2/1.2
110 0/1.0/3.1/1.1/3.2/1.2/2.1.2.2.3.3.
107 4/1.5/0.5/0.5/0.5/0.5/1.6/0.6/1.6/1.8/1.9/0.5
107 0/2.1/2.1/2.1.1.2.2.
106 0/1.0/2.0/4.1.2.2.2.
106 1/0.1/1.2/2.1.2.
106 0/1.1/0.1/1.1/1.1/2.2.3.
106 1/0.1/1.1/1.1/2.1/2.1/3.1.2.3.3.
106 1/2.1/3.1/4.2/2.2/3.3/2.1.1.1.2.2.2.3.4.
105 0/1.0/1.0/1.0/2.2.3.
103 3/2.4/0.4/1.4/2.5/0.5/1.5/2.6/0.6/1.6/1.4.6.
103 1/0.2/2.2/2.2/2.3/1.4/0.2.2.3.
103 2/1.3/1.3/1.3/3.4/0.4/1.4/2.5/1.6/0.3.3.4.
103 3/0.3/0.3/1.4/0.4/1.5/0.5/0.5/1.6/0.3
102 1/2.1/3.1.1.1.1.1.
102 0/1.0/2.0/2.1.1.1.2.
102 1/0.1/2.2/1.2/2.3/1.3/2.1.2.2.3.
101 0/3.1/2.1/2.1.2.2.2.
101 0/2.1/0.1/2.2/0.1.1.2.
100 3/1.3/2.3/2.5/0.5/1.5/1.5/3.6/1.6/2.6/2.7/2.4.5.8.
100 0/1.0/2.1/1.1/1.2.3.
100 0/1.2/1.2/1.2/1.2/1.2.3.
100 1/0.1/1.2/0.2/1.2/1.3
100 1/0.1/0.1/0.1/1.1/1.1/1.3
99 1/1.1/4.2/3.1.1.2.2.2.
99 0/2.0/2.0/2.1/0.1/1.1.1.1.2.2.
99 0/1.1/1.1/2.2/3.3/1.3/2.2.2.3.3.
98 1/0.1/2.2/0.1.1.
98 0/1.0/1.1/0.1/1.1.1.1.
97 1/1.2/2.4/1.4/2.4/3.5/2.6/0.6/1.6/2.6/2.5.5.6.
97 1/4.1/4.1.1.1.1.1.1.2.
97 0/1.1/1.1/2.1.3.
97 0/2.0/3.0/4.1.1.1.2.2.2.
97 0/4.1/0.1/3.1.1.1.2.2.
97 1/1.1/2.1/4.1/4.1.1.2.2.2.3.
97 0/1.1/1.1/1.1/2.3/1.3.3.
96 0/1.0/3.0/4.1.1.2.2.2.
96 0/1.0/1.0/1.1/1.1/3.1.2.2.2.
96 0/4.1/0.1/1.1/2.3/0.1.1.1.2.2.
96 1/0.1/1.2/0.2/2.2/2.1.1.3.
96 0/2.1/1.1/1.2/0.2/1.2/1.2/2.3/1.3/1.2.2.6.
95 2/2.3/0.3/1.3/1.3/1.3/2.5/1.5/2.5/2.6.6.
92 0/3.1/3.1/4.1.1.2.3.3.
92 1/4.2/1.2/2.2/3.3/1.3/3.4/1.4/3.5/1.3.4.5.7.
90 1/0.2/0.2/1.2/2.2/3.4/1.4/1.5/2.5/2.5/3.1.1.3.5.5.
90 2/2.3/0.3/1.3/3.4/1.4/1.4/2.5/2.6/1.6/2.3.5.7.
90 1/0.1/0.2/2.1.1.
90 0/2.2/0.2/1.2/1.2/1.3/1.3/1.4/2.2.2.5.
89 0/1.0/2.1/1.1/2.1.2.3.
89 0/1.1/0.1/2.2/0.1.2.
89 1/1.1/1.1/1.3/0.3
89 1/0.1/0.2/0.2/0.2/0.
89 1/1.1/1.1/2.1/3.2/2.3/0.3/1.1.1.1.1.3.3.
89 2/3.2/3.3/1.3/1.3/1.3/2.4/2.1.1.2.2.3.4.
88 0/1.0/2.0/3.1.2.3.
88 1/0.1/2.2/1.1.1.1.
88 1/2.1/4.2/2.2.2.2.2.
88 0/1.1/3.1/3.2/1.2/1.2/2.1.2.2.3.3.
88 0/3.2/0.2/1.2/1.3/1.4/0.4/2.5/0.1.1.1.2.3.
87 0/1.1/0.1/1.2/1.1.2.
87 1/0.1/1.1/2.2/2.3/1.1.2.3.
87 1/0.1/2.2/1.2/2.3/1.3/1.3/2.3/4.4/3.2.4.5.5.
86 3/2.4/1.4/2.5/1.5/2.6/0.6/0.6/1.7/0.7/1.7/1.5.6.
86 0/1.0/2.2/1.2/1.2/1.1.2.3.
86 1/2.1/2.1/3.2/2.3/2.1.1.2.2.2.3.
86 1/1.1/1.1/3.2/0.2/1.2/2.3/0.4/1.2.3.4.
86 3/0.3/1.3/1.4/1.4/1.5/0.5/0.5/1.2.3.
86 0/2.1/1.2/1.2/2.3/1.3/2.3/2.4/1.4/2.2.2.4.6.
85 3/2.4/0.4/0.4/1.4/2.5/0.5/1.5/1.6/1.8/0.8/1.3.6.
85 0/1.0/1.0/3.1.1.1.1.1.
85 1/1.1/2.2/1.2/2.2/2.3/0.3/0.4/2.1.2.3.4.
84 1/0.1/1.1/1.1/2.2.2.
84 0/1.1/0.1/1.1/1.1/2.1.2.2.
84 0/1.0/2.1/0.1/0.1/1.1/2.2/1.1.1.1.4.
83 0/1.0/3.0/3.1.1.1.2.2.
83 0/2.1/1.1/2.1.2.2.
83 1/2.2/1.2/1.2/1.2/2.3/1.4/0.2.3.3.
82 1/1.1/2.2/0.2/1.1.1.1.1.
