0/1.;1. 8174
0/1.0/2.1/1.1/1.;2.3. 100
0/1.2/1.2/1.2/1.2/1.;2.3. 100
1/0.1/0.1/0.1/1.1/1.1/1.;3. 100
1/0.1/1.2/0.2/1.2/1.;3. 100
3/1.3/2.3/2.5/0.5/1.5/1.5/3.6/1.6/2.6/2.7/2.;4.5.8. 100
0/1.1/1.1/2.2/3.3/1.3/2.;2.2.3.3. 99
0/2.0/2.0/2.1/0.1/1.;1.1.1.2.2. 99
1/1.1/4.2/3.;1.1.2.2.2. 99
0/1.0/1.1/0.1/1.;1.1.1. 98
1/0.1/2.2/0.;1.1. 98
0/1.1/1.1/1.1/2.3/1.;3.3. 97
0/1.1/1.1/2.;1.3. 97
0/2.0/3.0/4.;1.1.1.2.2.2. 97
0/4.1/0.1/3.;1.1.1.2.2. 97
1/1.1/2.1/4.1/4.;1.1.2.2.2.3. 97
1/1.2/2.4/1.4/2.4/3.5/2.6/0.6/1.6/2.6/2.;5.5.6. 97
1/4.1/4.;1.1.1.1.1.1.2. 97
0/1.0/1.0/1.1/1.1/3.;1.2.2.2. 96
0/1.0/3.0/4.;1.1.2.2.2. 96
0/2.1/1.1/1.2/0.2/1.2/1.2/2.3/1.3/1.;2.2.6. 96
0/4.1/0.1/1.1/2.3/0.;1.1.1.2.2. 96
1/0.1/1.2/0.2/2.2/2.;1.1.3. 96
2/2.3/0.3/1.3/1.3/1.3/2.5/1.5/2.5/2.;6.6. 95
0/3.1/3.1/4.;1.1.2.3.3. 92
1/4.2/1.2/2.2/3.3/1.3/3.4/1.4/3.5/1.;3.4.5.7. 92
0/2.2/0.2/1.2/1.2/1.3/1.3/1.4/2.;2.2.5. 90
1/0.1/0.2/2.;1.1. 90
1/0.2/0.2/1.2/2.2/3.4/1.4/1.5/2.5/2.5/3.;1.1.3.5.5. 90
2/2.3/0.3/1.3/3.4/1.4/1.4/2.5/2.6/1.6/2.;3.5.7. 90
0/1.0/2.1/1.1/2.;1.2.3. 89
0/1.1/0.1/2.2/0.;1.2. 89
1/0.1/0.2/0.2/0.2/0.; 89
1/1.1/1.1/1.3/0.;3. 89
1/1.1/1.1/2.1/3.2/2.3/0.3/1.;1.1.1.1.3.3. 89
2/3.2/3.3/1.3/1.3/1.3/2.4/2.;1.1.2.2.3.4. 89
0/1.0/2.0/3.;1.2.3. 88
0/1.1/3.1/3.2/1.2/1.2/2.;1.2.2.3.3. 88
0/3.2/0.2/1.2/1.3/1.4/0.4/2.5/0.;1.1.1.2.3. 88
1/0.1/2.2/1.;1.1.1. 88
1/2.1/4.2/2.;2.2.2.2. 88
0/1.1/0.1/1.2/1.;1.2. 87
1/0.1/1.1/2.2/2.3/1.;1.2.3. 87
1/0.1/2.2/1.2/2.3/1.3/1.3/2.3/4.4/3.;2.4.5.5. 87
0/1.0/2.2/1.2/1.2/1.;1.2.3. 86
0/2.1/1.2/1.2/2.3/1.3/2.3/2.4/1.4/2.;2.2.4.6. 86
1/1.1/1.1/3.2/0.2/1.2/2.3/0.4/1.;2.3.4. 86
1/2.1/2.1/3.2/2.3/2.;1.1.2.2.2.3. 86
3/0.3/1.3/1.4/1.4/1.5/0.5/0.5/1.;2.3. 86
3/2.4/1.4/2.5/1.5/2.6/0.6/0.6/1.7/0.7/1.7/1.;5.6. 86
0/1.0/1.0/3.;1.1.1.1.1. 85
