0,45,391,0,9,124,0,68,265,0,46,243,
0,7,8,0,1,5,0,16,23,0,7,23,
0,7,0,0,1,0,0,16,0,0,7,0,
0,107,1,0,55,1,0,93,1,0,57,1,
0,48,2,0,24,2,0,48,2,0,26,2,
32,32,196,8,9,67,54,54,173,28,28,160,
457,419,821,238,230,423,227,218,505,210,190,490,
0,8,354,0,2,126,0,16,326,0,7,301,
0,8,536,0,2,253,0,16,392,0,7,373,
148,149,590,58,60,303,140,148,729,95,95,688,
99,99,862,44,45,474,121,121,647,64,64,575,
195,195,640,65,66,292,153,157,432,132,132,410,
195,195,134,65,65,29,149,153,788,130,130,764,
7,38,680,1,8,304,20,54,440,17,33,422,
170,170,170,60,60,70,172,184,145,135,135,125,
778,48,1424,562,23,1100,380,48,840,327,26,809,
0,396,259,0,224,91,0,194,87,0,163,87,
914,870,1522,608,600,824,459,424,998,417,376,982,
453,453,596,242,242,346,203,204,253,192,192,253,
0,7,259,0,1,103,0,16,148,0,7,145,
0,8,73,0,2,9,0,16,62,0,7,61,
618,614,1875,302,298,1122,381,376,1270,341,328,1215,
595,595,504,292,293,252,368,377,1210,330,330,1172,
0,7,116,0,1,28,0,16,1474,0,7,1429,
0,29,1265,0,10,695,0,35,941,0,17,907,
1196,1238,111,1207,1207,150,527,543,1497,486,486,1491,
0,656,1924,0,527,1455,0,330,1237,0,238,1199,
0,778,59,0,611,10,0,379,69,0,279,67,
0,87,1575,0,37,2470,0,69,1442,0,45,1442,
0,167,210,0,110,67,0,119,231,0,68,1608,
1103,1103,1786,828,829,1167,579,597,1766,458,464,1722,
342,1072,1555,192,798,846,164,441,535,154,397,532,
1351,1031,1534,910,722,1074,661,467,2586,598,411,2578,
1084,1084,196,753,753,66,477,479,112,445,445,112,
1626,1369,1397,1798,1447,1596,784,633,1529,737,571,1519,
582,7,2033,340,1,3207,308,16,1438,263,7,1431,
1672,107,1117,1732,54,1689,747,114,1494,695,77,1489,
1544,463,2503,1750,408,3589,1551,205,1484,1500,185,1484,
365,922,1268,198,674,1006,202,436,582,184,373,571,
0,306,2008,0,241,3633,0,181,2173,0,119,2147,
0,76,30,0,46,8,0,66,335,0,31,1807,
0,66,3,0,32,3,0,61,7,0,38,7,
104,65,1980,44,31,3019,75,61,1136,68,38,1130,
4119,746,285,4383,675,253,1897,364,2438,1702,277,2412,
329,2759,536,275,3139,564,181,1207,1661,143,1110,3015,
2057,1245,711,2035,1192,973,926,549,3034,866,486,3010,
1779,1433,2391,1900,1472,3115,860,660,1516,840,637,1507,
0,317,1031,0,251,621,0,133,2916,0,114,2913,
1460,1460,446,1460,1460,602,642,642,1532,638,638,1529,
0,7,91,0,1,27,0,16,3296,0,7,3280,
0,29,2129,0,9,1791,0,35,2469,0,17,2424,
0,106,603,0,53,569,0,114,587,0,77,584,
0,400,105,0,335,19,0,155,4128,0,148,4113,
4,936,485,4,967,729,37,423,294,36,408,294,
0,33,210,0,10,69,0,54,1594,0,28,1528,
0,66,559,0,32,283,0,61,246,0,38,244,
697,354,1926,394,199,1279,355,182,2824,331,164,2820,
32,33,5907,8,10,4789,54,54,3668,28,28,3577,
3718,3718,6587,2840,2840,4699,1794,1805,2828,1717,1717,2771,
591,591,4124,292,293,4051,372,389,3273,324,324,3207,
366,366,1189,212,213,535,183,204,492,164,164,491,
0,38,6597,0,8,4710,0,63,2871,0,33,2824,
7,38,208,1,8,75,20,54,218,17,33,214,
1013,1014,1667,715,717,1084,467,478,653,416,416,653,
7812,7813,11205,7037,7039,8929,3694,3729,3954,3481,3481,3847,
2906,2907,17108,2414,2416,17656,1192,1192,28140,1131,1131,28127,
436,651,38863,238,378,40675,238,331,18378,211,296,18360,
784,388,8323,452,225,10032,353,187,3449,336,173,3449,
1386,893,900,966,651,884,695,437,527,613,358,502,
32,33,5022,8,10,2925,54,54,2013,28,28,1941,
4613,4614,2600,4404,4406,1800,2018,2051,925,1901,1901,925,
87,205,8327,37,131,9251,68,137,3584,58,94,3571,
1402,1395,42,945,943,11,585,570,28,563,548,28,
1452,1452,15400,958,958,17790,596,597,6899,576,576,6884,
548,581,1726,286,296,1008,327,379,789,255,287,762,
0,241,3565,0,148,5971,0,159,2263,0,101,2254,
1974,3824,3510,2164,5020,6607,913,1861,4358,896,1829,4349,
0,393,2533,0,236,1777,0,210,919,0,174,918,
3130,253,1649,3258,204,2422,1322,137,2418,1216,94,2405,
7959,8151,10833,10594,10594,18982,3956,3965,10151,3934,3934,10146,
4226,3971,5382,5267,4775,9240,8011,1786,4048,8003,1780,4047,
926,2233,3669,847,2340,3990,407,915,1973,366,847,1962,
0,29,904,0,9,1170,0,35,14078,0,15,14061,
10006,7953,24613,13495,10681,40800,20567,3943,20439,20444,3886,20425,
946,213,1919,669,132,954,447,153,772,394,103,752,
3681,3681,2664,2832,2833,1913,1780,1789,1314,1703,1703,1303,
338,147,32232,192,93,45088,181,108,39320,151,67,39262,
16561,14320,1709,21577,17870,2336,8180,6953,723,7985,6744,718,
7686,7781,31668,10092,10134,63954,3933,4004,51543,3819,3856,51514,
0,542,4020,0,442,8592,0,283,16005,0,228,15977,
0,1409,298,0,1553,374,0,623,4499,0,595,4495,
6928,5934,1583,6453,5725,930,2829,2494,5794,2675,2335,5732,
0,71,1815,0,46,2447,0,41,812,0,29,801,
2113,2256,0,1907,2002,0,852,1007,0,776,843,0,
3469,2612,1602,2788,2130,1294,1420,1129,3069,1308,1011,3050,
0,7,5673,0,1,8625,0,16,5902,0,7,5902,
1374,1249,1665,1531,1266,2999,686,537,10629,660,517,10628,
0,70,2155,0,44,1344,0,41,9108,0,29,9106,
6755,280,12044,7817,216,19776,3241,158,8378,3111,113,8373,
3863,3680,4164,5240,5048,7936,2065,1933,10221,2008,1874,10208,
