gid	mod	cnt
30	4.4.4.5.5.	1
30	4.4.4.6.6.	3
30	4.4.5.	3
30	4.4.5.5.5.	1
30	4.4.5.6.	3
30	4.5.	1
30	4.5.6.	4
30	4.5.6.6.	2
31	1.1.	9
31	1.1.2.	2
31	1.2.	163
31	1.2.3.	4
31	1.2.3.4.	2
31	1.2.3.4.4.	1
31	1.2.4.	2
31	1.3.	24
31	1.3.3.4.4.	1
31	1.3.3.5.	1
31	1.3.4.	54
31	1.3.4.4.	1
31	1.4.	76
31	1.4.4.	8
31	1.4.4.4.	2
31	1.4.4.4.5.	1
31	1.4.4.5.	101
31	1.4.4.5.5.	17
31	1.4.5.	3
31	1.4.5.5.	24
31	1.5.	3
31	1.5.5.5.	1
31	1.5.5.6.	12
31	1.6.	4
31	2.2.	10
31	2.2.3.	23
31	2.2.3.3.	2
31	2.2.3.4.	1
31	2.2.3.5.	1
31	2.3.	3
31	2.3.3.	135
31	2.3.3.3.	1
31	2.3.3.4.	76
31	2.3.4.	5
31	2.3.4.4.	1
31	2.3.4.4.5.5.	1
31	2.3.4.5.	1
31	2.3.4.5.6.	2
31	2.4.4.	16
31	2.4.4.4.	2
31	2.4.4.4.5.	4
31	2.4.4.5.	40
31	2.4.4.5.6.	3
31	2.4.5.5.	1
31	2.4.5.5.6.	15
31	2.4.5.6.	1
31	2.5.5.5.	2
31	2.5.5.5.5.6.	109
31	2.5.5.5.6.	3
31	2.5.5.6.6.	47
31	3.3.3.	4
31	3.3.3.3.	1
31	3.3.4.	4
31	3.3.4.4.	24
31	3.3.5.	1
31	3.4.	2
31	3.4.4.	3
31	3.4.4.5.	1
31	3.4.5.	1
31	3.4.5.5.	1
31	3.5.5.5.	1
31	3.5.5.6.	3
31	4.4.4.	2
31	4.5.	1
31	4.5.5.	2
31	4.5.6.	2
32	1.1.	11
32	1.1.2.	12
32	1.1.3.	56
32	1.1.4.	4
32	1.1.4.4.	1
32	1.2.	38
32	1.2.2.	5
32	1.2.3.	81
32	1.2.3.3.	17
32	1.2.3.4.	2
32	1.2.3.4.4.	1
32	1.2.4.	10
32	1.2.4.4.	8
32	1.2.5.5.	2
32	1.3.	7
32	1.3.3.	24
32	1.3.3.4.	1
32	1.3.4.	35
32	1.3.4.4.	22
32	1.3.4.4.5.	1
32	1.3.5.	9
32	1.3.5.6.	6
32	1.4.	2
32	1.4.4.	4
32	1.4.4.5.	40
32	1.4.5.5.	13
32	1.4.5.6.	6
32	2.2.	3
32	2.2.2.	30
32	2.2.3.	24
32	2.2.3.3.	10
32	2.2.3.4.	9
32	2.2.3.4.4.	3
32	2.2.4.	35
32	2.2.4.4.	1
32	2.2.4.4.5.	4
32	2.2.4.5.	18
32	2.2.5.	2
32	2.2.5.5.	3
32	2.3.3.	10
32	2.3.3.4.	42
32	2.3.3.4.4.	1
32	2.3.4.	23
32	2.3.4.4.	8
32	2.3.4.4.5.	9
32	2.3.4.5.	10
32	2.3.4.5.6.	2
32	2.3.5.	48
32	2.3.5.5.	8
32	2.4.	1
32	2.4.4.	1
32	2.4.4.4.	1
32	2.4.4.4.4.	6
32	2.4.4.4.5.	4
32	2.4.4.5.	5
32	2.4.4.5.5.	5
32	2.4.4.5.5.5.	2
32	2.4.4.5.6.	4
32	2.4.5.	19
32	2.4.5.5.	35
32	2.4.5.5.6.	110
32	2.4.5.6.	1
32	2.5.5.6.	20
32	3.3.3.	1
32	3.3.3.4.	8
32	3.3.4.	3
32	3.3.4.4.	31
32	3.3.4.4.4.	2
32	3.3.4.4.5.	5
32	3.3.4.5.	7
32	3.3.5.6.	1
32	3.4.4.4.	2
32	3.4.4.4.4.	3
32	3.4.4.5.	4
32	3.4.4.5.5.	2
32	3.4.4.5.5.5.	7
32	3.4.5.5.	16
32	3.4.5.6.	5
32	4.4.4.4.5.	2
32	4.4.5.5.6.	10
33	1.1.	8
33	1.1.1.	3
33	1.1.2.	5
33	1.1.2.2.	1
33	1.1.2.2.3.	2
33	1.1.2.3.	1
33	1.1.3.3.	1
33	1.1.3.3.4.	1
33	1.2.	73
33	1.2.2.	2
33	1.2.2.2.	1
33	1.2.2.3.	1
33	1.2.3.	25
33	1.2.3.4.	7
33	1.2.3.4.4.	1
33	1.2.3.4.5.	1
33	1.2.3.4.5.6.	1
33	1.2.3.5.5.	1
33	1.2.4.	12
33	1.2.4.4.5.	1
33	1.3.	25
33	1.3.3.4.	14
33	1.3.3.5.5.5.	1
33	1.3.3.5.6.6.	3
33	1.3.4.	25
33	1.3.4.5.	1
33	1.3.5.5.	3
33	1.4.5.	33
33	1.5.6.	6
33	2.2.	27
33	2.2.2.3.	2
33	2.2.3.	16
33	2.2.3.3.	1
33	2.2.3.4.	1
33	2.2.4.	15
33	2.2.4.4.	17
33	2.2.4.4.5.6.	2
33	2.2.4.5.	3
33	2.2.4.5.5.	3
33	2.2.5.	46
33	2.3.	5
33	2.3.3.	26
33	2.3.3.3.	16
33	2.3.3.3.4.	1
33	2.3.3.4.	1
33	2.3.3.4.4.	1
33	2.3.3.4.5.	3
33	2.3.3.5.	1
33	2.3.4.	11
33	2.3.4.4.	150
33	2.3.4.5.	15
33	2.3.4.5.5.5.	1
33	2.3.4.5.6.6.	51
33	2.3.4.6.	2
33	2.3.5.	35
33	2.3.5.5.	3
33	2.3.5.5.6.	1
33	2.3.5.6.	10
33	2.4.	11
33	2.4.4.	6
33	2.4.4.4.	8
33	2.4.4.5.	9
33	2.4.5.	1
33	2.4.5.5.	5
33	2.4.5.6.	12
33	2.5.	58
33	2.5.5.	9
33	2.5.6.6.	8
33	2.6.6.	4
33	3.3.	1
33	3.3.3.3.	1
33	3.3.3.4.5.	1
33	3.3.3.5.	20
33	3.3.3.5.5.	1
33	3.3.3.5.6.6.	57
33	3.3.4.	13
33	3.3.4.4.	1
33	3.3.4.4.5.	9
33	3.3.4.4.6.	1
33	3.3.5.6.	8
33	3.4.	1
33	3.4.4.	3
33	3.4.4.4.	1
33	3.4.4.4.5.	1
33	3.4.4.5.	10
33	3.4.4.5.6.6.	11
33	3.4.5.	2
33	3.4.5.5.	14
33	3.4.5.5.6.	1
33	3.4.6.6.	5
33	3.4.6.6.6.	24
33	3.5.5.	6
33	3.6.6.	2
34	1.1.2.	25
34	1.1.2.2.	1
34	1.1.2.3.	2
34	1.1.2.4.	20
34	1.1.3.	2
34	1.2.	19
34	1.2.2.	25
34	1.2.2.2.4.	1
34	1.2.2.3.	4
34	1.2.2.4.	7
34	1.2.2.4.5.	4
34	1.2.3.	22
34	1.2.3.3.	5
34	1.2.3.4.	1
34	1.2.3.5.	43
34	1.2.4.	53
34	1.2.4.4.	2
34	1.3.	1
34	1.3.3.4.5.	3
34	1.3.3.5.	1
34	1.3.4.	5
34	1.3.4.4.	6
34	1.3.4.5.	2
34	1.3.5.	1
34	1.4.4.	4
34	1.4.4.4.5.5.	5
34	1.4.4.5.	1
34	1.4.4.6.	7
34	2.2.	11
34	2.2.2.	4
34	2.2.2.3.	4
34	2.2.2.3.4.	1
34	2.2.2.3.5.	2
34	2.2.2.4.	2
34	2.2.2.5.	2
34	2.2.3.	54
34	2.2.3.3.4.	2
34	2.2.3.4.	23
34	2.2.3.4.4.	4
34	2.2.3.4.5.	7
34	2.2.3.4.6.	2
34	2.2.4.	5
34	2.2.4.4.	10
34	2.3.	3
34	2.3.3.	14
34	2.3.3.3.	1
34	2.3.3.3.4.	1
34	2.3.3.4.	18
34	2.3.3.4.4.	3
34	2.3.3.4.4.5.	1
34	2.3.3.4.5.	2
34	2.3.3.5.	12
34	2.3.4.	8
34	2.3.4.4.	7
34	2.3.4.4.4.	1
34	2.3.4.4.4.5.	2
34	2.3.4.4.5.	3
34	2.3.4.4.6.	2
34	2.3.4.5.	3
34	2.3.4.6.	3
34	2.3.5.	5
34	2.3.5.5.	15
34	2.4.4.	4
34	2.4.4.4.	5
34	2.4.4.4.5.	3
34	2.4.4.4.5.5.	2
34	2.4.4.5.	7
34	2.4.4.5.5.5.	45
34	2.4.5.	9
34	2.4.5.5.	8
34	2.4.5.6.	80
34	3.3.	1
34	3.3.3.	4
34	3.3.3.3.5.	1
34	3.3.3.4.5.	7
34	3.3.3.5.	10
34	3.3.3.5.5.	1
34	3.3.4.	6
34	3.3.4.4.	8
34	3.3.4.4.5.	14
34	3.3.4.4.6.	32
34	3.3.4.5.	9
34	3.3.4.6.	14
34	3.3.5.	1
34	3.3.5.5.	3
34	3.3.5.6.	4
34	3.4.4.	2
34	3.4.4.4.5.	4
34	3.4.4.4.6.	14
34	3.4.4.5.	5
34	3.4.4.5.5.	10
34	3.4.4.5.6.	3
34	3.4.4.6.	7
34	3.4.5.	5
34	3.4.5.5.	5
34	3.4.5.5.5.	3
34	3.4.5.6.	10
34	3.4.6.	7
34	3.5.5.5.	2
34	3.5.5.6.	1
34	4.4.4.	1
34	4.4.4.5.5.	46
34	4.4.4.5.6.	11
34	4.4.4.6.	5
34	4.4.5.	4
34	4.4.5.5.	1
34	4.4.5.5.6.	22
34	4.4.5.6.	10
34	4.4.5.6.6.	13
34	4.5.5.5.	2
34	4.5.5.6.	5
34	4.5.6.6.	5
35	1.1.2.	5
35	1.1.2.2.	1
35	1.1.2.3.3.	1
35	1.1.3.	1
35	1.1.3.3.	5
35	1.1.3.3.4.	2
35	1.1.4.	1
35	1.2.	129
35	1.2.2.3.	2
35	1.2.2.3.4.	2
35	1.2.3.	39
35	1.2.3.3.	2
35	1.2.3.3.5.	51
35	1.2.3.4.	62
35	1.2.4.	8
35	1.2.5.	5
35	1.3.	62
35	1.3.4.	4
35	1.3.5.	7
35	1.3.6.	5
35	1.4.	23
35	1.4.4.	27
35	1.4.5.	6
35	1.5.5.	27
35	2.2.	20
35	2.2.2.3.5.	15
35	2.2.2.4.	4
35	2.2.3.3.5.	1
35	2.2.3.3.6.	118
35	2.2.3.4.	2
35	2.2.3.5.	9
35	2.3.	44
35	2.4.	20
35	2.4.4.	10
35	2.4.5.	3
35	2.5.	4
35	2.5.5.	52
35	2.5.6.	23
35	3.4.	2
35	3.5.5.	2
35	3.5.6.	19
36	1.1.	53
36	1.1.2.2.	3
36	1.1.3.	23
36	1.2.	84
36	1.2.2.	2
36	1.2.2.3.	1
36	1.2.2.4.	1
36	1.2.2.4.5.	1
36	1.2.3.	45
36	1.2.3.3.3.4.	1
36	1.2.3.3.5.	1
36	1.2.3.5.	8
36	1.2.4.	23
36	1.2.6.	1
36	1.3.	60
36	1.3.3.	4
36	1.3.3.3.	9
36	1.3.3.3.4.	1
36	1.3.3.4.	2
36	1.3.3.4.4.6.	75
36	1.3.4.	25
36	1.3.4.4.5.	1
36	1.3.4.4.6.	1
36	1.3.4.6.	77
36	2.2.	56
36	2.2.2.2.3.	1
36	2.2.2.3.3.4.	2
36	2.2.3.	17
36	2.2.3.3.3.	8
36	2.2.3.3.4.5.	72
36	2.2.4.	13
36	2.2.5.	4
36	2.3.	33
36	2.3.3.3.4.	50
36	2.3.3.4.4.6.	12
36	2.3.4.	23
36	2.3.5.	3
36	2.3.6.	1
36	2.4.	1
36	2.4.5.	14
36	2.4.6.	2
36	3.3.	3
36	3.3.5.	1
36	3.3.6.	1
36	3.4.	11
36	3.4.5.	3
36	3.4.6.	2
37	1.1.	93
37	1.1.1.	3
37	1.1.2.	1
37	1.1.2.3.	2
37	1.1.4.	9
37	1.2.	180
37	1.2.2.	2
37	1.2.2.3.	15
37	1.2.2.3.3.	15
37	1.2.3.	1
37	1.2.3.4.	3
37	1.2.4.	42
37	1.3.	42
37	1.3.4.	9
37	2.2.	45
37	2.2.2.	2
37	2.2.3.	57
37	2.2.3.3.4.	39
37	2.2.3.4.	60
37	2.2.4.	71
37	2.2.4.5.	2
37	2.2.5.	10
37	2.3.	18
37	2.3.4.	1
37	2.3.4.5.	60
37	2.3.5.	38
38	1.1.	114
38	1.1.1.	7
38	1.1.2.	6
38	1.1.2.3.	1
38	1.2.	44
38	1.2.2.	123
38	1.2.2.3.	1
38	1.2.3.	32
38	1.2.3.3.	5
38	1.2.4.	2
38	1.3.	11
38	1.3.3.	16
38	1.3.4.	6
38	2.2.	16
38	2.2.2.	10
38	2.2.3.	78
38	2.2.3.3.	10
38	2.2.4.	51
38	2.3.	42
38	2.3.3.	19
38	2.3.3.3.	6
38	2.3.4.	19
38	2.4.	69
38	2.4.4.	2
38	3.3.3.	2
38	3.3.3.3.	108
38	3.3.4.	18
38	3.4.4.	17
39	1.1.	7
39	1.1.1.	5
39	1.1.2.	6
39	1.1.3.	73
39	1.1.4.	6
39	1.2.	56
39	1.2.2.	9
39	1.2.2.3.	1
39	1.2.2.4.	68
39	1.2.3.	28
39	1.2.3.3.	7
39	1.2.3.4.	4
39	1.2.4.	5
39	1.2.4.4.	6
39	1.3.	7
39	1.3.3.	1
39	1.3.4.	1
39	1.3.5.	16
39	1.4.	4
39	1.5.	18
39	2.2.	20
39	2.2.2.	1
39	2.2.2.3.	4
39	2.2.3.	24
39	2.2.3.3.	5
39	2.2.3.4.	6
39	2.2.4.	17
39	2.2.4.4.	47
39	2.3.	9
39	2.3.3.	6
39	2.3.3.3.	2
39	2.3.3.4.	81
39	2.3.4.	51
39	2.3.4.4.	12
39	2.3.5.	50
39	2.4.	42
39	2.4.4.	2
39	2.5.	34
39	3.3.3.4.	11
39	3.3.3.5.	1
39	3.3.4.	6
39	3.3.4.4.	4
39	3.3.4.5.	31
39	3.3.5.	1
39	3.4.4.	2
39	3.4.4.4.	2
39	3.4.4.5.	11
40	1	14
40	1.1.	56
40	1.1.1.	1
40	1.1.2.	5
40	1.1.2.4.	1
40	1.1.3.3.	1
40	1.1.4.	1
40	1.2.	155
40	1.2.2.	4
40	1.2.2.3.	1
40	1.2.2.4.	2
40	1.2.3.	4
40	1.2.3.3.	1
40	1.2.3.4.4.	7
40	1.2.3.4.5.	5
40	1.2.4.	8
40	1.2.4.4.4.	2
40	1.2.4.4.5.	7
40	1.2.4.5.	1
40	1.3.	125
40	1.3.3.	8
40	1.3.4.	3
40	1.3.4.5.	1
40	1.4.	187
40	1.4.4.5.	1
40	2	4
40	2.2.	65
40	2.2.2.3.	4
40	2.2.2.4.5.	1
40	2.2.3.	35
40	2.2.3.3.	4
40	2.2.3.4.	2
40	2.2.3.4.5.	54
40	2.2.4.	3
40	2.2.4.4.5.	76
40	2.2.4.5.	2
40	2.3.	24
40	2.3.3.	82
40	2.3.4.	5
40	2.3.4.5.	7
40	2.3.5.5.	1
40	2.4.	14
40	2.4.4.5.	1
40	2.5.	22
40	3.3.3.	2
40	3.3.4.	2
40	3.3.5.5.	1
40	3.4.5.5.	2
41	1	27
41	1.1.	73
41	1.1.1.	2
41	1.1.1.1.	1
41	1.1.1.1.2.	1
41	1.1.1.2.	1
41	1.1.1.3.4.	1
41	1.1.2.	14
41	1.1.2.2.	2
41	1.1.2.2.3.	1
41	1.1.2.4.4.	1
41	1.2.	118
41	1.2.2.	2
41	1.2.2.2.	5
41	1.2.2.2.3.	1
41	1.2.2.3.	1
41	1.2.2.3.3.5.	1
41	1.2.2.3.4.5.	1
41	1.2.2.4.	1
41	1.2.2.4.4.	1
41	1.2.2.4.5.	6
41	1.2.2.4.6.	6
41	1.2.2.5.5.	3
41	1.2.3.	7
41	1.2.3.3.	2
41	1.2.3.4.	3
41	1.2.3.4.6.	4
41	1.2.3.5.5.	6
41	1.2.3.6.	1
41	1.2.4.	2
41	1.2.4.5.	1
41	1.3.	66
41	1.3.4.	19
41	1.3.5.	9
41	1.4.	160
41	1.4.4.	11
41	1.4.5.	12
41	1.5.	65
41	1.6.	7
41	2	5
41	2.2.	26
41	2.2.2.	13
41	2.2.2.2.4.	2
41	2.2.2.3.	12
41	2.2.2.3.5.5.	45
41	2.2.2.4.	5
41	2.2.2.4.6.	1
41	2.2.2.5.	1
41	2.2.2.5.5.	5
41	2.2.2.5.6.	43
41	2.2.3.	31
41	2.2.3.3.	1
41	2.2.3.4.5.	1
41	2.2.3.5.6.	34
41	2.2.4.	19
41	2.2.4.5.	1
41	2.2.4.6.	1
41	2.2.5.	1
41	2.2.5.5.	1
41	2.3.	43
41	2.3.4.	2
41	2.3.4.5.	4
41	2.3.5.	1
41	2.4.	14
41	2.4.5.	1
41	2.4.6.	1
41	2.5.	30
41	2.5.5.	4
41	2.5.6.	4
41	2.6.	21
41	3.5.	2
42	1.1.	46
42	1.1.1.	3
42	1.1.2.	8
42	1.1.4.	38
42	1.2.	100
42	1.2.2.3.	2
42	1.2.2.4.	110
42	1.2.3.4.	2
42	1.2.4.	68
42	1.3.	73
42	1.3.3.4.4.	57
42	1.3.3.5.	78
42	1.3.4.	1
42	1.3.5.	1
42	2.2.	33
42	2.2.2.	56
42	2.2.3.4.	2
42	2.2.3.5.	1
42	2.2.4.	40
42	2.2.4.4.	2
42	2.3.	82
42	2.3.3.5.	26
42	2.3.4.	10
42	2.3.4.4.	1
42	2.3.4.5.	3
42	2.3.5.	2
42	3.3.	3
42	3.3.4.5.	1
42	3.3.5.	1
43	1.1.	1
43	1.1.1.1.2.	2
43	1.1.2.	1
43	1.2.	163
43	1.2.2.3.3.	1
43	1.2.2.4.	2
43	1.2.3.3.4.5.	1
43	1.3.	5
43	1.3.3.3.3.5.	1
43	1.3.3.3.4.5.	1
43	2.2.	164
43	2.2.2.	4
43	2.2.2.6.	2
43	2.2.3.	1
43	2.2.3.4.	1
43	2.3.	158
43	2.3.3.	96
43	2.3.3.4.6.	1
43	2.3.3.5.	1
43	2.3.3.6.	64
43	2.3.4.4.6.	6
43	2.3.4.5.	3
43	2.4.	3
43	3.3.	15
43	3.3.3.5.	1
43	3.3.4.4.6.	95
43	3.3.4.5.	61
43	3.4.	1
44	1.1.	55
44	1.1.1.	1
44	1.1.2.	1
44	1.1.3.	6
44	1.2.	151
44	1.2.2.	2
44	1.2.2.4.	1
44	1.2.3.	11
44	1.2.3.3.	3
44	1.2.3.3.3.	2
44	1.2.3.3.4.	1
44	1.2.4.	1
44	1.3.	79
44	1.3.3.	67
44	1.3.3.3.	2
44	1.3.3.4.	12
44	1.3.4.	81
44	1.3.5.	7
44	1.4.	46
44	1.4.4.	2
44	1.4.5.	2
44	1.5.5.	79
44	2.2.	54
44	2.2.3.	40
44	2.2.3.3.4.	15
44	2.2.3.4.	12
44	2.3.	23
44	2.3.3.	75
44	2.3.3.3.4.	2
44	2.3.3.3.5.	47
44	2.3.3.4.	2
44	2.3.3.4.5.	4
44	2.3.4.	9
44	2.3.4.4.	62
44	2.3.5.	15
44	2.3.5.5.	8
44	2.4.	2
44	2.4.4.	3
44	2.4.5.	3
44	2.5.5.	7
44	3.3.	8
44	3.3.3.	4
44	3.3.4.	10
44	3.3.5.	3
45	1	92
45	1.1.	10
45	1.1.1.	1
45	1.1.2.	5
45	1.1.2.2.	2
45	1.1.2.3.	1
45	1.1.2.4.	2
45	1.1.3.	12
45	1.1.3.3.	1
45	1.1.3.4.	76
45	1.1.4.	10
45	1.1.4.4.	13
45	1.1.4.5.	34
45	1.2.	9
45	1.2.3.	1
45	1.3.	8
45	1.3.3.	2
45	1.4.	40
45	1.4.4.	2
45	1.4.5.	9
45	1.5.	17
45	2.2.	98
45	2.2.2.	50
45	2.2.2.2.	3
45	2.2.2.3.	3
45	2.2.3.	11
45	2.2.3.3.	8
45	2.2.3.4.	52
45	2.2.4.	48
45	2.2.4.4.	10
45	2.2.4.5.	77
45	2.2.5.	1
45	2.3.	90
45	2.3.3.	7
45	2.3.4.	25
45	2.3.5.	13
45	2.5.	1
45	3.3.	4
45	3.3.3.	82
45	3.3.4.	50
45	3.3.4.4.	7
45	3.4.	4
45	3.4.4.	4
45	3.4.4.4.	2
45	3.4.4.5.	13
45	3.4.5.	2
45	4.4.5.	2
46	1	70
46	1.1.	7
46	1.1.2.	4
46	1.1.2.2.	1
46	1.2.	52
46	1.2.2.	51
46	1.2.2.2.	3
46	1.2.2.3.	1
46	1.2.3.	16
46	1.2.3.3.	1
46	1.2.3.4.	2
46	1.2.4.	1
46	1.2.4.4.	1
46	1.2.4.5.	3
46	1.3.3.	82
46	1.3.3.3.	1
46	1.3.3.4.	7
46	1.3.4.	51
46	1.3.4.5.	84
46	1.4.	32
46	1.4.4.	2
46	2	29
46	2.2.	6
46	2.2.2.	2
46	2.2.2.3.	20
46	2.2.3.	50
46	2.2.3.3.	18
46	2.2.4.	39
46	2.2.4.4.	1
46	2.3.	15
46	2.3.3.	13
46	2.3.3.3.	6
46	2.3.4.	11
46	2.3.4.4.	55
46	2.4.	8
46	2.4.4.	87
46	2.4.4.5.	1
46	2.4.5.	71
46	3.3.	4
46	3.3.3.	2
46	3.3.3.3.	62
46	3.3.3.4.	1
46	3.3.4.	18
46	3.3.4.4.	11
46	3.4.	3
46	3.4.4.	5
46	3.4.4.4.	4
46	3.4.4.4.4.	2
46	3.4.4.5.	9
46	3.4.5.	1
47	1.1.2.3.	68
47	1.1.3.3.	7
47	1.2.	28
47	1.2.2.	72
47	1.2.2.2.4.	1
47	1.2.2.3.	4
47	1.2.3.	14
47	1.2.3.3.	4
47	1.2.3.4.	2
47	1.2.4.	2
47	1.3.	15
47	1.3.3.	1
47	1.3.3.4.5.	8
47	1.3.4.4.	1
47	1.3.4.4.4.	19
47	1.3.4.5.	1
47	1.3.4.5.5.	2
47	1.3.5.	2
47	1.3.5.5.	1
47	1.4.4.	38
47	1.4.4.4.4.	2
47	1.4.4.5.5.	1
47	1.4.4.6.6.	89
47	1.4.5.	52
47	1.4.5.6.	73
47	1.5.5.	3
47	2.2.2.	1
47	2.2.2.4.	12
47	2.2.2.4.6.	1
47	2.2.3.3.4.5.	1
47	2.2.3.4.	79
47	2.2.3.4.5.	1
47	2.2.3.5.6.	1
47	2.2.4.4.	1
47	2.3.3.	58
47	2.3.3.4.	5
47	2.3.3.4.5.	1
47	2.3.3.5.6.	50
47	2.3.4.	3
47	2.3.4.5.	2
47	2.3.4.5.5.	42
47	2.3.4.6.6.	5
47	2.3.5.	1
47	2.4.	3
47	2.5.5.	19
47	2.5.6.	8
47	2.6.6.	2
47	3.3.3.4.5.5.	13
47	3.3.4.	1
47	3.3.4.5.	2
47	3.3.4.5.5.	25
47	3.4.5.	2
47	3.4.5.6.	1
48	1.1.	76
48	1.1.1.3.	3
48	1.1.2.	4
48	1.2.	95
48	1.2.2.3.	6
48	1.2.2.3.3.	1
48	1.2.3.	5
48	1.2.4.	3
48	1.2.4.5.	1
48	1.2.5.5.	2
48	1.3.	59
48	1.3.3.3.4.	13
48	1.3.4.4.	15
48	1.3.4.5.	1
48	1.3.5.5.	4
48	1.3.5.6.	99
48	1.3.6.	1
48	1.3.6.6.	63
48	1.4.	45
48	1.4.4.	1
48	1.4.5.	1
48	2.2.	4
48	2.2.3.	55
48	2.2.3.3.	9
48	2.2.3.4.	1
48	2.2.4.	9
48	2.3.	6
48	2.3.3.	65
48	2.3.3.3.	1
48	2.3.3.4.	2
48	2.3.3.4.4.	46
48	2.3.4.	10
48	2.3.4.4.	3
48	2.3.4.4.5.	1
48	2.3.4.5.	54
48	2.3.4.5.5.	58
48	2.3.4.5.6.	94
48	2.3.5.	4
48	2.3.5.6.	1
48	2.4.	15
48	2.4.4.	1
48	2.4.4.5.	3
48	2.4.5.5.	1
48	2.5.	17
48	2.5.5.	2
48	2.5.6.	3
48	2.6.6.	1
48	3.3.3.4.	1
48	3.3.4.	1
48	3.3.4.4.5.6.	2
48	3.3.4.5.	21
48	3.3.4.5.6.	2
48	3.3.5.5.	1
48	3.3.5.5.5.	2
48	3.3.5.6.6.	1
48	3.4.4.	6
48	3.4.5.	1
49	1.1.2.	26
49	1.2.2.	76
49	1.2.2.4.	62
49	1.2.3.	1
49	1.2.3.4.	1
49	1.2.3.5.	1
49	1.2.4.5.	1
49	1.3.3.	1
49	1.3.3.4.	1
49	1.3.3.4.4.	1
49	1.3.3.5.5.	1
49	1.3.4.	49
49	1.3.4.4.5.	4
49	1.3.4.5.	1
49	1.3.5.5.	2
49	1.3.5.6.	79
49	1.4.4.	50
49	1.4.4.4.5.5.	8
49	1.4.4.5.	8
49	1.4.4.5.5.	10
49	1.4.4.5.6.	2
49	1.4.5.5.	2
49	1.5.5.6.6.	82
49	2.2.2.	1
49	2.2.3.	25
49	2.2.3.4.4.	1
49	2.3.3.	57
49	2.3.3.4.	72
49	2.3.3.5.	3
49	2.3.4.	3
49	2.3.4.4.	16
49	2.3.4.4.4.	8
49	2.4.4.	2
49	2.4.4.4.4.	1
49	2.4.4.5.5.	51
49	2.4.4.5.6.	1
49	2.4.5.	4
49	2.4.5.5.5.5.	49
49	2.5.5.	10
49	2.5.5.5.5.6.	1
49	2.5.5.5.6.	9
49	2.5.5.6.	11
49	2.5.6.	1
49	3.3.4.4.	2
49	3.4.4.5.5.	17
49	3.4.5.5.	9
49	3.5.5.6.6.	2
50	1.1.	25
50	1.1.2.	5
50	1.1.3.	32
50	1.1.4.	3
50	1.2.	89
50	1.2.2.	5
50	1.2.3.	46
50	1.2.3.4.	1
50	1.2.4.	45
50	1.2.4.4.	5
50	1.2.4.5.	1
50	1.3.	12
50	1.3.3.	7
50	1.3.3.3.	4
50	1.3.3.3.4.	1
50	1.3.3.4.	4
50	1.3.3.5.6.	1
50	1.3.4.	50
50	1.3.4.4.	3
50	1.3.4.5.5.5.	1
50	1.3.4.5.6.	86
50	1.3.4.6.	1
50	1.3.5.6.	21
50	1.4.4.4.5.	1
50	1.4.4.4.6.	2
50	1.4.4.5.5.	1
50	1.4.4.5.5.6.	79
50	2.2.	39
50	2.2.2.	3
50	2.2.3.	34
50	2.2.3.3.4.5.	1
50	2.2.3.4.5.	1
50	2.2.4.	36
50	2.2.4.4.	1
50	2.2.4.5.	5
50	2.3.	24
50	2.3.3.	24
50	2.3.3.3.	1
50	2.3.3.3.4.	1
50	2.3.3.4.	33
50	2.3.3.4.4.	35
50	2.3.3.4.4.5.	2
50	2.3.4.	51
50	2.3.4.4.	3
50	2.3.4.4.4.	1
50	2.3.5.	33
50	2.3.5.6.	27
50	2.3.6.6.	1
50	2.4.4.4.	1
50	2.4.5.	1
50	2.4.5.5.	1
50	3.3.	4
50	3.3.3.3.	1
50	3.3.3.3.3.	2
50	3.3.3.4.4.	29
50	3.3.4.	33
50	3.3.4.4.4.	1
50	3.3.4.4.4.5.	31
50	3.3.4.4.5.	2
50	3.3.4.5.	1
50	3.3.5.	21
50	3.3.5.6.	1
50	3.3.6.6.	1
50	3.4.	2
50	3.4.4.5.	1
50	3.4.5.6.6.	1
50	3.4.6.	3
50	3.5.5.6.	1
50	4.4.4.	1
51	1	23
51	1.1.	14
51	1.1.1.	1
51	1.1.2.	2
51	1.1.2.2.	10
51	1.1.2.2.3.	6
51	1.1.2.3.	3
51	1.1.4.	9
51	1.2.	55
51	1.2.2.	1
51	1.2.2.2.3.	1
51	1.2.2.3.	25
51	1.2.2.3.3.	2
51	1.2.2.3.4.	11
51	1.2.2.3.4.5.	2
51	1.2.3.	3
51	1.2.3.3.4.	1
51	1.2.4.	29
51	1.2.4.5.	1
51	1.2.5.	11
51	1.2.6.	1
51	1.3.	26
51	1.3.3.3.6.	2
51	1.3.3.4.	2
51	1.3.4.4.7.	2
51	1.3.5.	2
51	1.3.6.	4
51	1.3.7.	58
51	1.4.	6
51	1.4.4.	1
51	1.4.5.	26
51	1.5.	2
51	2	23
51	2.2.	38
51	2.2.2.2.	3
51	2.2.2.2.3.3.	1
51	2.2.2.3.4.	1
51	2.2.2.4.	1
51	2.2.3.	7
51	2.2.3.3.	11
51	2.2.3.3.3.4.6.	2
51	2.2.3.3.3.5.	13
51	2.2.3.3.4.	1
51	2.2.3.3.5.	3
51	2.2.3.3.6.	6
51	2.2.3.5.	1
51	2.2.4.	20
51	2.2.4.4.4.5.	1
