0,45,391,0,9,124,0,68,306,0,46,270,
0,7,8,0,1,5,0,16,25,0,7,23,
0,7,0,0,1,0,0,16,0,0,7,0,
0,107,1,0,55,1,0,93,1,0,57,1,
0,48,2,0,24,2,0,48,2,0,26,2,
32,32,196,8,9,67,54,54,203,28,28,171,
485,419,993,238,230,431,257,222,406,225,192,365,
0,8,354,0,2,126,0,16,312,0,7,266,
0,8,634,0,2,253,0,16,251,0,7,235,
148,149,595,58,60,303,150,148,587,97,95,476,
99,99,961,44,45,491,121,121,610,64,64,491,
195,195,641,65,66,292,164,163,530,135,134,469,
195,195,134,65,65,29,156,155,140,132,131,126,
7,38,680,1,8,304,25,64,411,18,35,383,
170,170,210,60,60,70,194,191,180,140,137,141,
792,48,1737,562,23,1232,426,48,888,344,26,746,
0,396,259,0,224,91,0,198,97,0,164,97,
914,870,1314,608,600,1044,478,427,593,422,377,562,
453,453,604,242,242,346,205,204,320,193,192,316,
0,7,269,0,1,104,0,16,155,0,7,149,
0,8,73,0,2,9,0,16,65,0,7,63,
618,614,2059,302,298,1122,392,378,1017,343,329,938,
595,595,504,292,293,252,386,382,429,336,332,416,
0,7,108,0,1,28,0,16,159,0,7,118,
0,29,1472,0,10,727,0,35,600,0,15,500,
1351,1266,154,1305,1227,150,608,574,98,534,500,98,
0,687,2095,0,535,1658,0,376,1049,0,255,905,
0,778,59,0,611,10,0,379,83,0,279,76,
0,87,2033,0,37,2479,0,69,1188,0,45,1176,
0,167,210,0,110,67,0,119,241,0,68,194,
1124,1103,1938,828,829,1348,597,591,992,464,458,903,
349,1079,1514,192,798,859,179,448,771,159,402,724,
1351,1031,1990,910,722,1249,609,472,779,541,413,749,
1091,1084,218,753,753,66,489,485,113,453,449,111,
1880,1390,2526,1918,1447,2577,898,648,981,811,579,913,
596,7,3010,340,1,3824,330,16,1389,271,7,1336,
1373,107,2119,1375,54,1738,643,93,1128,593,57,1063,
1457,470,3549,1670,408,4005,742,220,1577,689,191,1512,
365,929,1396,198,674,907,207,451,670,185,380,632,
0,306,4068,0,241,3968,0,181,1710,0,119,1574,
0,76,30,0,46,8,0,66,21,0,31,21,
0,66,3,0,32,3,0,61,7,0,38,7,
104,65,2667,44,31,3702,76,61,1332,65,38,1257,
4243,753,380,4477,675,276,1876,375,188,1673,280,166,
329,2810,671,275,3163,813,181,1227,405,143,1124,387,
2084,1270,1010,2043,1200,1048,912,568,631,828,497,581,
1897,1433,2908,1951,1472,3109,891,662,1389,862,638,1360,
0,317,884,0,251,476,0,133,394,0,114,378,
1460,1460,658,1460,1460,682,644,642,387,640,638,387,
0,7,91,0,1,27,0,16,61,0,7,58,
0,29,2439,0,9,1786,0,35,1034,0,15,917,
0,106,742,0,53,830,0,93,352,0,57,340,
0,407,82,0,335,19,0,160,49,0,151,49,
4,967,894,4,975,747,18,433,437,18,415,437,
0,33,210,0,10,69,0,54,175,0,28,169,
0,66,752,0,32,283,0,61,278,0,38,260,
697,354,2035,394,199,1279,333,187,637,305,166,637,
32,33,6189,8,10,5191,54,54,2896,28,28,2755,
3725,3718,6563,2840,2840,5318,1836,1815,2953,1743,1722,2857,
591,591,4756,292,293,2858,398,390,2363,333,325,2254,
387,366,1165,212,213,535,224,206,429,183,165,429,
0,38,6043,0,8,4921,0,63,2981,0,33,2883,
7,38,208,1,8,75,25,64,222,18,35,216,
1027,1021,1667,715,717,1084,495,488,641,428,421,641,
7833,7813,11278,7037,7039,9110,3806,3763,4154,3538,3495,3940,
2957,2914,20203,2422,2416,18952,1221,1206,9304,1155,1140,9233,
443,651,33613,238,378,38098,249,327,19881,215,293,19800,
791,388,8565,452,225,9702,358,191,3738,336,175,3734,
1444,900,1251,974,651,894,707,444,638,594,362,554,
32,33,4199,8,10,2925,54,54,1970,28,28,1856,
4770,4651,2934,4436,4414,1651,2162,2106,1042,1983,1927,1032,
87,212,11173,37,131,7096,78,153,3787,60,99,3763,
1423,1402,42,945,943,11,607,579,30,580,555,29,
1459,1452,21588,958,958,16644,604,598,9024,583,577,8972,
548,581,2061,286,296,1008,344,391,1032,260,291,926,
0,241,6727,0,148,7635,0,159,3318,0,101,3214,
1993,3902,5671,2172,5052,6286,923,1891,2361,903,1852,2326,
0,407,2334,0,236,1603,0,233,1013,0,185,998,
