gid=,59, btcnt=,0, method=,gid=,59, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,60, btcnt=,0, method=,gid=,60, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,61, btcnt=,0, method=,gid=,61, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,62, btcnt=,0, method=,gid=,62, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,63, btcnt=,0, method=,gid=,63, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,64, btcnt=,0, method=,gid=,64, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,65, btcnt=,0, method=,gid=,65, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,66, btcnt=,0, method=,gid=,66, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,67, btcnt=,0, method=,gid=,67, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,68, btcnt=,0, method=,gid=,68, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,69, btcnt=,0, method=,gid=,69, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,70, btcnt=,0, method=,gid=,70, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,71, btcnt=,0, method=,gid=,71, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,72, btcnt=,0, method=,gid=,72, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,73, btcnt=,0, method=,gid=,73, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,74, btcnt=,0, method=,gid=,74, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,75, btcnt=,0, method=,gid=,75, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,76, btcnt=,0, method=,gid=,76, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,77, btcnt=,0, method=,gid=,77, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,78, btcnt=,0, method=,gid=,78, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,79, btcnt=,0, method=,gid=,79, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,80, btcnt=,0, method=,gid=,80, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,81, btcnt=,0, method=,gid=,81, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,82, btcnt=,0, method=,gid=,82, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,83, btcnt=,0, method=,gid=,83, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,84, btcnt=,0, method=,gid=,84, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,85, btcnt=,0, method=,gid=,85, btcnt=,54, method=,D,0,1,1,,,,,,,,,
gid=,86, btcnt=,0, method=,gid=,86, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,87, btcnt=,0, method=,gid=,87, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,88, btcnt=,0, method=,gid=,88, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,89, btcnt=,0, method=,gid=,89, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,90, btcnt=,0, method=,gid=,90, btcnt=,55, method=,D,0,1,1,,,,,,,,,
gid=,91, btcnt=,0, method=,gid=,91, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,92, btcnt=,0, method=,gid=,92, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,93, btcnt=,0, method=,gid=,93, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,94, btcnt=,0, method=,gid=,94, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,95, btcnt=,0, method=,gid=,95, btcnt=,54, method=,D,0,1,1,,,,,,,,,
gid=,96, btcnt=,0, method=,gid=,96, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,97, btcnt=,0, method=,gid=,97, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,98, btcnt=,0, method=,gid=,98, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,99, btcnt=,0, method=,gid=,99, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,100, btcnt=,0, method=,gid=,100, btcnt=,55, method=,D,0,1,1,,,,,,,,,
gid=,101, btcnt=,15889, method=,gid=,101, btcnt=,18729, method=,D,0,1,1,,,,,,,,,
gid=,102, btcnt=,0, method=,gid=,102, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,103, btcnt=,0, method=,gid=,103, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,104, btcnt=,0, method=,gid=,104, btcnt=,1037, method=,D,0,1,1,,,,,,,,,
gid=,105, btcnt=,0, method=,gid=,105, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,106, btcnt=,0, method=,gid=,106, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,107, btcnt=,696, method=,gid=,107, btcnt=,0, method=,D,0,0,1,,,,,,,,,
gid=,108, btcnt=,83, method=,gid=,108, btcnt=,0, method=,D,0,0,1,,,,,,,,,
gid=,109, btcnt=,0, method=,gid=,109, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,110, btcnt=,0, method=,gid=,110, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,111, btcnt=,15889, method=,gid=,111, btcnt=,18729, method=,D,0,1,1,,,,,,,,,
gid=,112, btcnt=,0, method=,gid=,112, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,113, btcnt=,0, method=,gid=,113, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,114, btcnt=,0, method=,gid=,114, btcnt=,1037, method=,D,0,1,1,,,,,,,,,
gid=,115, btcnt=,0, method=,gid=,115, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,116, btcnt=,0, method=,gid=,116, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,117, btcnt=,696, method=,gid=,117, btcnt=,0, method=,D,0,0,1,,,,,,,,,
gid=,118, btcnt=,83, method=,gid=,118, btcnt=,0, method=,D,0,0,1,,,,,,,,,
gid=,119, btcnt=,0, method=,gid=,119, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,120, btcnt=,0, method=,gid=,120, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,121, btcnt=,15889, method=,gid=,121, btcnt=,18729, method=,D,0,1,1,,,,,,,,,
gid=,122, btcnt=,0, method=,gid=,122, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,123, btcnt=,0, method=,gid=,123, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,124, btcnt=,0, method=,gid=,124, btcnt=,1037, method=,D,0,1,1,,,,,,,,,
gid=,125, btcnt=,0, method=,gid=,125, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,126, btcnt=,0, method=,gid=,126, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,127, btcnt=,696, method=,gid=,127, btcnt=,0, method=,D,0,0,1,,,,,,,,,
gid=,128, btcnt=,83, method=,gid=,128, btcnt=,0, method=,D,0,0,1,,,,,,,,,
gid=,129, btcnt=,0, method=,gid=,129, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,130, btcnt=,0, method=,gid=,130, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,131, btcnt=,0, method=,gid=,131, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,132, btcnt=,204, method=,gid=,132, btcnt=,1572, method=,D,0,1,1,,,,,,,,,
gid=,133, btcnt=,0, method=,gid=,133, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,134, btcnt=,150, method=,gid=,134, btcnt=,1466, method=,D,0,1,1,,,,,,,,,
gid=,135, btcnt=,764, method=,gid=,135, btcnt=,87, method=,D,0,0,1,,,,,,,,,
gid=,136, btcnt=,0, method=,gid=,136, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,137, btcnt=,0, method=,gid=,137, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,138, btcnt=,0, method=,gid=,138, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,139, btcnt=,0, method=,gid=,139, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,140, btcnt=,0, method=,gid=,140, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,141, btcnt=,0, method=,gid=,141, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,142, btcnt=,204, method=,gid=,142, btcnt=,1572, method=,D,0,1,1,,,,,,,,,
gid=,143, btcnt=,0, method=,gid=,143, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,144, btcnt=,150, method=,gid=,144, btcnt=,1466, method=,D,0,1,1,,,,,,,,,
gid=,145, btcnt=,764, method=,gid=,145, btcnt=,87, method=,D,0,0,1,,,,,,,,,
gid=,146, btcnt=,0, method=,gid=,146, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,147, btcnt=,0, method=,gid=,147, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,148, btcnt=,0, method=,gid=,148, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,149, btcnt=,0, method=,gid=,149, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,150, btcnt=,0, method=,gid=,150, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,151, btcnt=,0, method=,gid=,151, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,152, btcnt=,204, method=,gid=,152, btcnt=,1572, method=,D,0,1,1,,,,,,,,,
gid=,153, btcnt=,0, method=,gid=,153, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,154, btcnt=,150, method=,gid=,154, btcnt=,1466, method=,D,0,1,1,,,,,,,,,
gid=,155, btcnt=,764, method=,gid=,155, btcnt=,87, method=,D,0,0,1,,,,,,,,,
gid=,156, btcnt=,0, method=,gid=,156, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,157, btcnt=,0, method=,gid=,157, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,158, btcnt=,0, method=,gid=,158, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,159, btcnt=,0, method=,gid=,159, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,160, btcnt=,0, method=,gid=,160, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,161, btcnt=,0, method=,gid=,161, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,162, btcnt=,204, method=,gid=,162, btcnt=,1572, method=,D,0,1,1,,,,,,,,,
gid=,163, btcnt=,0, method=,gid=,163, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,164, btcnt=,150, method=,gid=,164, btcnt=,1466, method=,D,0,1,1,,,,,,,,,
gid=,165, btcnt=,764, method=,gid=,165, btcnt=,87, method=,D,0,0,1,,,,,,,,,
gid=,166, btcnt=,0, method=,gid=,166, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,167, btcnt=,0, method=,gid=,167, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,168, btcnt=,0, method=,gid=,168, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,169, btcnt=,0, method=,gid=,169, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,170, btcnt=,0, method=,gid=,170, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,171, btcnt=,0, method=,gid=,171, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,172, btcnt=,0, method=,gid=,172, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,173, btcnt=,0, method=,gid=,173, btcnt=,0, method=,D,0,0,0,,,,,,,,,
gid=,174, btcnt=,316, method=,gid=,174, btcnt=,0, method=,D,0,0,1,,,,,,,,,
